HOME/AWAY,Opponent,勝敗,kofu_得点,kofu_失点,Opponent_シュート,kofu_シュート,Opponent_枠内シュート,kofu_枠内シュート,Opponent_PKによるシュート,kofu_PKによるシュート,Opponent_パス,kofu_パス,Opponent_クロス,kofu_クロス,Opponent_直接ＦＫ,kofu_直接ＦＫ,Opponent_間接ＦＫ,kofu_間接ＦＫ,Opponent_ＣＫ,kofu_ＣＫ,Opponent_スローイン,kofu_スローイン,Opponent_ドリブル,kofu_ドリブル,Opponent_タックル,kofu_タックル,Opponent_クリア,kofu_クリア,Opponent_インターセプト,kofu_インターセプト,Opponent_オフサイド,kofu_オフサイド,Opponent_警告,kofu_警告,Opponent_退場,kofu_退場,Opponent_３０ｍライン進入,kofu_３０ｍライン進入,Opponent_ペナルティエリア進入,kofu_ペナルティエリア進入,Opponent_総移動距離,kofu_総移動距離,Opponent_スプリント,kofu_スプリント,Opponent_攻撃回数,kofu_攻撃回数,Opponent_チャンス構築率,kofu_チャンス構築率,Opponent_ボール保持率,kofu_ボール保持率,URL
A,広島,L,0,2,18,6,5,0,0,0,593,492,19,5,17,14,0,2,9,0,18,17,25,7,17,17,9,16,5,2,2,0,1,3,0,0,41,27,13,4,"113,445m","114,033m",130,143,115,113,15.7%,5.3%,53.2%,46.8%,https://www.football-lab.jp/kofu/report/?year=2015&month=03&date=07
H,名古屋,W,1,0,11,6,3,1,0,0,454,467,21,10,9,14,5,3,5,5,32,25,14,22,35,31,17,30,4,3,2,5,0,1,0,0,55,34,14,10,"107,441m","111,605m",159,170,150,148,7.3%,4.1%,49.2%,50.8%,https://www.football-lab.jp/kofu/report/?year=2015&month=03&date=14
H,Ｇ大阪,L,0,2,13,7,3,0,0,0,503,462,16,18,11,18,0,5,4,4,24,28,9,15,30,20,35,22,3,1,5,0,0,0,0,0,42,38,21,8,"111,800m","109,480m",138,120,120,126,10.8%,5.6%,50.8%,49.2%,https://www.football-lab.jp/kofu/report/?year=2015&month=03&date=22
A,FC東京,L,0,1,14,7,2,1,1,0,391,490,14,13,19,19,1,2,7,4,26,24,16,8,34,29,22,24,3,3,2,0,1,4,0,0,42,33,9,7,"114,417m","113,556m",159,142,143,142,9.8%,4.9%,48.8%,51.2%,https://www.football-lab.jp/kofu/report/?year=2015&month=04&date=04
A,神戸,L,1,4,22,8,11,3,0,0,598,486,15,11,14,15,1,3,4,4,17,19,12,7,28,27,21,18,4,5,2,1,0,0,0,0,33,42,15,13,"112,964m","114,230m",167,146,135,141,16.3%,5.7%,55.2%,44.8%,https://www.football-lab.jp/kofu/report/?year=2015&month=04&date=12
H,鳥栖,L,0,3,12,8,4,1,1,0,420,497,8,14,13,16,1,4,3,4,24,14,5,10,20,21,26,19,6,1,4,1,1,2,0,0,28,43,12,12,"115,996m","110,777m",156,134,143,133,8.4%,6.0%,47.9%,52.1%,https://www.football-lab.jp/kofu/report/?year=2015&month=04&date=18
A,川崎Ｆ,L,0,3,21,9,8,1,0,0,930,384,8,8,8,8,2,1,2,5,16,17,16,9,18,32,9,17,4,2,0,2,0,0,0,0,98,32,14,7,"113,761m","116,007m",143,128,101,110,20.8%,8.2%,64.2%,35.8%,https://www.football-lab.jp/kofu/report/?year=2015&month=04&date=25
H,浦和,L,0,2,19,7,5,3,1,0,669,263,14,7,10,14,1,0,9,6,27,19,13,13,21,21,20,25,1,4,0,1,1,0,0,0,71,21,8,6,"115,303m","113,363m",168,142,131,127,14.5%,5.5%,64.6%,35.4%,https://www.football-lab.jp/kofu/report/?year=2015&month=04&date=29
A,鹿島,W,1,0,14,14,6,3,0,0,565,375,9,11,13,17,5,1,5,5,22,20,12,14,18,27,18,33,1,0,1,4,2,5,0,1,58,31,14,14,"112,304m","113,098m",124,128,123,131,11.4%,10.7%,55.7%,44.3%,https://www.football-lab.jp/kofu/report/?year=2015&month=05&date=02
A,松本,L,0,2,15,9,3,4,1,0,352,382,11,11,6,17,3,0,3,5,17,25,8,13,21,16,21,13,2,1,0,2,2,1,0,0,26,32,11,25,"112,031m","102,993m",165,113,123,138,12.2%,6.5%,50.4%,49.6%,https://www.football-lab.jp/kofu/report/?year=2015&month=05&date=06
H,湘南,L,0,1,8,17,2,4,0,0,349,433,6,21,9,19,3,2,4,11,18,29,11,17,16,27,42,15,4,0,2,3,1,0,0,0,38,47,4,17,"116,971m","115,541m",169,164,121,147,6.6%,11.6%,46.2%,53.8%,https://www.football-lab.jp/kofu/report/?year=2015&month=05&date=10
H,山形,W,2,0,8,13,2,7,0,1,472,372,13,11,10,13,3,1,3,6,26,21,10,14,17,22,25,23,0,4,0,1,2,1,0,0,48,33,11,10,"114,059m","111,059m",145,128,126,132,6.3%,9.8%,52.9%,47.1%,https://www.football-lab.jp/kofu/report/?year=2015&month=05&date=16
A,仙台,W,1,0,9,8,1,2,0,0,578,399,20,14,10,19,2,2,2,3,30,17,18,7,28,26,21,42,2,3,1,2,2,0,0,0,56,27,16,6,"119,722m","114,053m",125,100,131,123,6.9%,6.5%,57.3%,42.7%,https://www.football-lab.jp/kofu/report/?year=2015&month=05&date=23
A,新潟,W,2,0,12,7,3,4,0,0,526,470,15,4,16,15,3,6,4,1,27,21,13,8,32,25,22,29,1,5,4,2,0,0,0,0,34,38,15,9,"108,372m","109,369m",112,116,130,137,9.2%,5.1%,52.6%,47.4%,https://www.football-lab.jp/kofu/report/?year=2015&month=05&date=30
H,横浜FM,D,1,1,7,12,2,2,0,0,600,422,9,12,7,16,3,2,5,6,21,22,11,11,26,29,18,19,2,9,2,3,0,1,0,0,32,29,8,10,"108,806m","110,174m",116,156,125,134,5.6%,9.0%,57.4%,42.6%,https://www.football-lab.jp/kofu/report/?year=2015&month=06&date=07
A,清水,W,2,0,15,12,6,5,1,0,580,301,28,4,10,10,4,2,13,0,34,20,11,9,26,22,18,62,2,3,2,4,1,1,0,0,53,19,28,11,"113,095m","111,470m",134,175,154,135,9.7%,8.9%,57.8%,42.2%,https://www.football-lab.jp/kofu/report/?year=2015&month=06&date=20
H,柏,D,1,1,4,12,2,2,0,0,657,468,8,17,6,15,1,0,4,9,28,20,6,15,12,25,23,18,4,4,0,1,2,0,0,0,40,41,9,11,"109,282m","109,514m",99,110,111,124,3.6%,9.7%,55.1%,44.9%,https://www.football-lab.jp/kofu/report/?year=2015&month=06&date=27
A,Ｇ大阪,L,1,2,16,16,5,6,1,0,551,476,14,14,8,6,1,1,4,3,24,23,13,10,16,23,20,20,1,3,1,0,0,2,0,0,44,42,12,12,"110,968m","110,344m",160,140,118,120,13.6%,13.3%,51.2%,48.8%,https://www.football-lab.jp/kofu/report/?year=2015&month=07&date=11
H,仙台,D,0,0,7,8,1,1,0,0,483,421,6,16,10,16,2,2,1,3,26,23,4,9,13,17,25,29,1,6,1,2,0,0,0,0,28,33,5,11,"114,800m","110,868m",135,135,127,129,5.5%,6.2%,51.5%,48.5%,https://www.football-lab.jp/kofu/report/?year=2015&month=07&date=15
A,湘南,W,2,0,9,8,6,2,0,1,638,471,13,17,8,11,1,2,3,3,16,17,14,10,17,25,18,22,1,9,2,0,0,0,0,0,80,38,10,9,"114,713m","108,770m",123,77,115,121,7.8%,6.6%,54.8%,45.2%,https://www.football-lab.jp/kofu/report/?year=2015&month=07&date=19
H,松本,L,0,1,9,9,2,0,0,0,241,519,9,26,9,8,2,2,3,9,21,23,5,21,16,15,33,12,1,2,2,1,0,2,0,0,20,61,7,16,"106,601m","103,643m",136,97,109,108,8.3%,8.3%,38.8%,61.2%,https://www.football-lab.jp/kofu/report/?year=2015&month=07&date=25
A,浦和,D,1,1,22,11,5,4,1,0,877,254,25,5,3,11,1,0,12,2,12,8,14,7,15,15,7,29,4,2,0,1,1,2,0,0,81,19,26,10,"108,282m","108,994m",103,106,100,102,22.0%,10.8%,70.2%,29.8%,https://www.football-lab.jp/kofu/report/?year=2015&month=07&date=29
H,FC東京,L,0,1,14,4,4,3,0,0,645,391,26,14,10,11,4,0,5,4,19,21,18,11,21,22,18,20,4,2,0,4,0,1,0,0,70,30,17,6,"115,742m","112,915m",141,111,112,112,12.5%,3.6%,59%,41%,https://www.football-lab.jp/kofu/report/?year=2015&month=08&date=12
A,横浜FM,L,0,2,21,7,8,2,0,0,599,462,13,18,8,7,1,4,5,4,23,15,18,16,22,23,21,9,3,1,3,1,0,0,0,0,39,34,21,7,"110,080m","109,954m",140,124,112,110,18.8%,6.4%,56.1%,43.9%,https://www.football-lab.jp/kofu/report/?year=2015&month=08&date=16
H,神戸,W,1,0,8,10,2,5,0,0,647,307,16,13,9,12,2,1,7,1,19,13,17,9,22,27,23,40,2,6,1,2,1,0,0,0,54,26,15,10,"103,338m","108,049m",109,110,115,112,7.0%,8.9%,62%,38%,https://www.football-lab.jp/kofu/report/?year=2015&month=08&date=22
A,柏,D,2,2,10,16,2,6,0,0,683,441,11,15,10,14,2,4,3,7,18,23,5,15,22,18,31,22,1,1,4,2,1,1,0,0,46,38,14,13,"110,677m","109,646m",133,138,116,120,8.6%,13.3%,57.6%,42.4%,https://www.football-lab.jp/kofu/report/?year=2015&month=08&date=30
H,川崎Ｆ,L,1,3,10,9,5,3,0,1,624,396,14,15,10,11,1,2,5,6,19,15,12,9,12,15,22,23,0,2,2,1,1,0,0,0,53,48,11,15,"108,855m","108,367m",117,108,116,111,8.6%,8.1%,55.7%,44.3%,https://www.football-lab.jp/kofu/report/?year=2015&month=09&date=12
H,鹿島,L,0,1,20,5,8,1,0,0,559,333,21,13,11,15,1,3,6,5,23,23,14,12,20,26,36,31,5,4,3,1,2,2,0,0,59,35,21,8,"108,518m","108,403m",146,135,126,132,15.9%,3.8%,59%,41%,https://www.football-lab.jp/kofu/report/?year=2015&month=09&date=19
A,鳥栖,W,1,0,13,7,1,3,0,0,520,243,17,8,6,14,4,1,8,2,22,7,9,11,25,17,17,38,2,2,0,4,0,0,0,0,46,18,13,5,"112,117m","106,833m",128,109,129,119,10.1%,5.9%,63.2%,36.8%,https://www.football-lab.jp/kofu/report/?year=2015&month=09&date=26
H,新潟,D,0,0,8,8,3,2,0,0,583,340,19,11,11,12,1,3,4,3,28,30,11,10,17,11,21,22,2,4,3,1,1,0,0,0,45,30,11,11,"110,224m","108,626m",141,135,118,133,6.8%,6.0%,60%,40%,https://www.football-lab.jp/kofu/report/?year=2015&month=10&date=03
A,山形,W,1,0,9,9,3,5,0,0,571,349,18,10,12,15,2,2,6,5,33,31,8,8,27,15,11,17,0,2,1,2,1,0,0,0,46,29,7,10,"111,095m","108,942m",135,120,147,147,6.1%,6.1%,55.8%,44.2%,https://www.football-lab.jp/kofu/report/?year=2015&month=10&date=17
H,広島,L,0,2,10,6,3,2,0,0,673,536,11,11,14,12,1,1,1,6,16,21,10,9,14,14,24,12,1,1,1,0,0,1,0,0,34,52,6,11,"109,965m","113,103m",107,149,92,93,10.9%,6.5%,52.5%,47.5%,https://www.football-lab.jp/kofu/report/?year=2015&month=10&date=24
A,名古屋,L,2,4,14,19,6,5,0,0,613,449,22,20,8,8,0,2,4,7,15,29,7,17,14,6,16,22,3,2,2,0,1,1,0,0,44,37,14,18,"112,968m","112,347m",185,152,114,127,12.3%,15.0%,54.7%,45.3%,https://www.football-lab.jp/kofu/report/?year=2015&month=11&date=07
H,清水,D,2,2,12,6,3,3,0,0,648,573,13,17,12,17,1,0,7,1,14,15,16,7,14,17,25,18,6,4,0,1,2,1,0,0,48,33,20,8,"120,706m","114,224m",168,156,106,115,11.3%,5.2%,49.1%,50.9%,https://www.football-lab.jp/kofu/report/?year=2015&month=11&date=22
