HOME/AWAY,Opponent,勝敗,kobe_得点,kobe_失点,Opponent_シュート,kobe_シュート,Opponent_枠内シュート,kobe_枠内シュート,Opponent_PKによるシュート,kobe_PKによるシュート,Opponent_パス,kobe_パス,Opponent_クロス,kobe_クロス,Opponent_直接ＦＫ,kobe_直接ＦＫ,Opponent_間接ＦＫ,kobe_間接ＦＫ,Opponent_ＣＫ,kobe_ＣＫ,Opponent_スローイン,kobe_スローイン,Opponent_ドリブル,kobe_ドリブル,Opponent_タックル,kobe_タックル,Opponent_クリア,kobe_クリア,Opponent_インターセプト,kobe_インターセプト,Opponent_オフサイド,kobe_オフサイド,Opponent_警告,kobe_警告,Opponent_退場,kobe_退場,Opponent_３０ｍライン進入,kobe_３０ｍライン進入,Opponent_ペナルティエリア進入,kobe_ペナルティエリア進入,Opponent_総移動距離,kobe_総移動距離,Opponent_スプリント,kobe_スプリント,Opponent_攻撃回数,kobe_攻撃回数,Opponent_チャンス構築率,kobe_チャンス構築率,Opponent_ボール保持率,kobe_ボール保持率,URL
A,清水,W,1,0,7,11,3,6,0,0,463,499,13,7,13,15,1,2,2,7,35,20,9,10,27,23,22,21,1,2,2,1,3,1,0,0,26,35,9,12,"118,350m","110,760m",153,162,136,128,5.1%,8.6%,49.8%,50.2%,https://www.football-lab.jp/kobe/report/?year=2017&month=02&date=25
H,新潟,W,2,1,17,14,6,5,0,0,418,469,11,12,14,9,1,4,6,3,23,35,12,15,17,17,29,23,0,4,4,0,2,0,0,0,37,46,14,13,"117,857m","110,019m",152,144,125,128,13.6%,10.9%,49.5%,50.5%,https://www.football-lab.jp/kobe/report/?year=2017&month=03&date=04
A,仙台,W,2,0,13,12,2,2,0,0,555,364,23,10,19,13,2,2,6,1,23,20,13,10,23,23,22,24,6,1,2,2,1,2,0,0,45,39,18,13,"122,472m","115,341m",177,147,138,127,9.4%,9.4%,58.2%,41.8%,https://www.football-lab.jp/kobe/report/?year=2017&month=03&date=11
H,磐田,W,1,0,7,13,1,5,0,0,481,481,23,9,13,5,4,3,4,4,14,32,13,5,29,22,18,21,7,5,3,4,0,0,0,0,42,41,7,10,"118,711m","111,096m",178,150,109,113,6.4%,11.5%,48.7%,51.3%,https://www.football-lab.jp/kobe/report/?year=2017&month=03&date=18
H,浦和,L,1,3,13,11,7,3,0,0,595,298,14,7,17,15,2,3,5,4,22,16,16,6,18,26,18,25,2,3,3,2,1,2,0,0,42,25,15,12,"114,465m","108,274m",167,167,121,115,10.7%,9.6%,62.4%,37.6%,https://www.football-lab.jp/kobe/report/?year=2017&month=04&date=01
A,大宮,W,2,0,6,21,2,5,0,0,527,504,9,12,9,11,7,3,3,5,23,19,8,14,23,16,27,23,2,7,3,6,1,0,0,0,25,51,7,21,"117,776m","112,717m",170,177,125,123,4.8%,17.1%,51.2%,48.8%,https://www.football-lab.jp/kobe/report/?year=2017&month=04&date=08
H,柏,L,1,2,13,11,5,5,0,0,461,412,14,13,16,17,5,4,6,1,26,24,11,11,23,18,19,24,3,1,4,5,3,3,0,1,41,43,13,14,"115,982m","108,504m",195,192,144,134,9.0%,8.2%,51.1%,48.9%,https://www.football-lab.jp/kobe/report/?year=2017&month=04&date=16
A,鳥栖,L,0,1,9,21,3,4,0,0,360,615,17,16,18,14,5,2,4,8,11,19,8,11,19,20,38,19,2,1,2,5,1,2,0,0,39,68,12,21,"121,080m","113,083m",174,139,117,131,7.7%,16.0%,38.6%,61.4%,https://www.football-lab.jp/kobe/report/?year=2017&month=04&date=22
H,甲府,L,0,1,9,23,2,7,0,0,326,687,10,23,11,14,3,1,1,6,15,34,11,17,29,19,26,7,0,0,1,3,1,2,0,0,27,88,4,26,"114,616m","111,027m",163,150,129,136,7.0%,16.9%,37%,63%,https://www.football-lab.jp/kobe/report/?year=2017&month=04&date=30
A,広島,D,1,1,16,10,5,3,0,0,736,499,12,9,17,11,2,4,1,3,12,9,19,8,20,24,16,13,3,1,4,2,0,1,0,0,43,54,9,10,"118,006m","116,823m",170,173,107,103,15.0%,9.7%,60%,40%,https://www.football-lab.jp/kobe/report/?year=2017&month=05&date=06
A,鹿島,W,2,1,21,11,6,3,0,0,494,320,23,12,22,13,0,1,10,9,25,24,21,14,20,30,16,40,1,2,1,0,1,2,0,0,56,35,20,14,"110,318m","111,274m",194,168,142,141,14.8%,7.8%,58.1%,41.9%,https://www.football-lab.jp/kobe/report/?year=2017&month=05&date=14
H,FC東京,D,1,1,9,17,2,9,0,0,409,413,18,14,22,7,0,0,4,6,29,22,16,16,28,27,27,23,4,4,0,0,0,2,0,0,45,39,15,23,"116,013m","108,504m",205,169,141,120,6.4%,14.2%,49.6%,50.4%,https://www.football-lab.jp/kobe/report/?year=2017&month=05&date=20
H,Ｃ大阪,L,1,2,12,17,6,3,0,0,488,460,15,13,13,15,1,4,5,1,25,17,14,13,24,23,18,24,4,2,4,1,0,1,0,0,41,49,19,12,"115,375m","112,415m",171,159,129,124,9.3%,13.7%,50.5%,49.5%,https://www.football-lab.jp/kobe/report/?year=2017&month=05&date=28
A,札幌,W,2,1,13,12,3,5,0,0,340,476,11,18,12,11,2,2,4,1,22,28,17,12,17,21,29,14,6,4,2,2,1,1,0,0,39,53,17,13,"113,621m","106,928m",143,154,123,117,10.6%,10.3%,44.8%,55.2%,https://www.football-lab.jp/kobe/report/?year=2017&month=06&date=04
H,Ｇ大阪,L,0,1,9,14,2,4,0,0,420,488,11,15,14,17,2,2,3,1,25,21,5,12,23,17,22,19,0,4,2,2,0,2,0,0,27,56,8,11,"112,397m","109,306m",174,191,130,127,6.9%,11.0%,44.7%,55.3%,https://www.football-lab.jp/kobe/report/?year=2017&month=06&date=17
A,横浜FM,L,0,2,15,13,7,4,0,0,521,468,8,16,16,11,1,6,6,4,19,16,12,8,18,24,19,13,1,1,6,0,0,2,0,0,24,52,13,13,"112,955m","110,274m",153,177,116,103,12.9%,12.6%,51.6%,48.4%,https://www.football-lab.jp/kobe/report/?year=2017&month=06&date=25
A,川崎Ｆ,L,0,5,17,9,8,2,0,0,749,446,16,16,10,8,4,2,5,5,21,15,10,9,21,18,21,17,3,6,2,4,0,2,0,0,45,44,25,8,"111,397m","111,050m",170,176,114,106,14.9%,8.5%,56.5%,43.5%,https://www.football-lab.jp/kobe/report/?year=2017&month=07&date=01
H,仙台,W,3,0,15,16,3,7,0,0,556,378,12,11,12,14,2,2,4,4,16,19,10,11,19,20,21,27,4,1,2,2,0,0,0,0,48,27,11,14,"109,896m","110,077m",133,170,113,119,13.3%,13.4%,58.7%,41.3%,https://www.football-lab.jp/kobe/report/?year=2017&month=07&date=08
H,大宮,W,3,1,11,13,2,3,0,0,538,511,16,15,11,5,0,2,2,3,19,20,10,5,14,14,19,15,2,1,2,0,1,0,0,0,32,40,14,13,"105,545m","103,652m",121,123,109,100,10.1%,13.0%,51.5%,48.5%,https://www.football-lab.jp/kobe/report/?year=2017&month=07&date=29
A,柏,L,1,3,11,8,7,2,0,0,566,429,14,9,15,13,3,2,6,4,26,21,14,4,5,18,17,14,2,1,2,3,4,1,0,1,42,30,15,7,"107,654m","102,007m",147,129,110,106,10.0%,7.5%,53.8%,46.2%,https://www.football-lab.jp/kobe/report/?year=2017&month=08&date=05
H,鹿島,L,1,2,15,14,5,5,0,0,435,380,13,9,17,5,1,5,7,4,25,22,16,6,20,15,12,18,0,1,5,1,1,4,0,0,36,36,22,18,"100,633m","100,428m",159,153,121,96,12.4%,14.6%,51.7%,48.3%,https://www.football-lab.jp/kobe/report/?year=2017&month=08&date=09
A,FC東京,L,0,1,11,14,5,3,0,0,406,568,8,13,13,11,5,3,4,6,20,18,12,5,9,14,18,17,1,4,3,5,0,0,0,0,34,55,10,17,"108,060m","103,024m",137,95,108,102,10.2%,13.7%,44.8%,55.2%,https://www.football-lab.jp/kobe/report/?year=2017&month=08&date=13
H,横浜FM,D,0,0,9,8,3,2,0,0,554,349,20,16,15,10,2,2,6,3,21,18,20,11,14,23,18,27,0,1,2,2,2,3,0,0,41,35,10,9,"103,651m","102,202m",144,126,107,102,8.4%,7.8%,59.9%,40.1%,https://www.football-lab.jp/kobe/report/?year=2017&month=08&date=20
A,磐田,L,1,2,21,7,8,1,0,0,467,377,22,16,21,14,4,4,6,1,19,16,15,6,17,17,17,25,0,1,4,4,2,1,0,1,51,26,24,14,"104,519m","98,777m",174,147,102,92,20.6%,7.6%,53%,47%,https://www.football-lab.jp/kobe/report/?year=2017&month=08&date=26
A,Ｇ大阪,W,2,1,10,14,3,8,1,0,581,395,10,10,13,10,0,3,6,4,24,19,14,7,6,20,22,25,0,2,3,0,1,0,0,0,43,34,13,13,"108,940m","107,505m",157,154,118,108,8.5%,13.0%,58.3%,41.7%,https://www.football-lab.jp/kobe/report/?year=2017&month=09&date=09
H,札幌,W,2,0,14,18,2,6,0,0,524,530,15,15,17,14,1,0,1,5,16,10,9,12,15,22,21,22,3,4,0,1,1,0,0,0,44,49,11,15,"117,179m","114,004m",130,142,118,116,11.9%,15.5%,48%,52%,https://www.football-lab.jp/kobe/report/?year=2017&month=09&date=16
H,川崎Ｆ,D,0,0,9,11,3,6,0,0,551,360,13,18,17,13,2,3,5,6,20,25,15,12,11,28,32,23,1,6,3,1,2,5,0,0,51,30,17,14,"104,404m","106,986m",124,158,119,114,7.6%,9.6%,56.2%,43.8%,https://www.football-lab.jp/kobe/report/?year=2017&month=09&date=23
A,新潟,W,2,0,17,17,5,3,0,0,375,549,24,16,15,15,2,7,5,5,22,16,23,10,15,27,18,22,4,1,8,2,1,1,0,0,42,53,15,20,"112,141m","111,989m",165,173,127,118,13.4%,14.4%,43.8%,56.2%,https://www.football-lab.jp/kobe/report/?year=2017&month=09&date=30
A,浦和,D,1,1,15,8,6,1,0,0,517,597,16,10,24,8,1,2,6,5,21,23,8,4,22,9,11,24,0,5,2,0,0,2,0,0,44,43,13,11,"117,125m","115,768m",153,140,123,111,12.2%,7.2%,47.8%,52.2%,https://www.football-lab.jp/kobe/report/?year=2017&month=10&date=14
H,鳥栖,L,1,2,8,20,4,9,1,0,309,634,14,19,11,12,3,2,1,6,21,23,12,16,13,19,33,19,5,3,2,3,2,2,0,0,27,62,12,22,"110,830m","107,512m",137,127,111,119,7.2%,16.8%,36.6%,63.4%,https://www.football-lab.jp/kobe/report/?year=2017&month=10&date=21
A,甲府,W,3,2,14,10,2,3,0,0,348,458,18,23,10,10,3,0,8,2,29,27,14,13,20,21,23,44,1,4,0,3,1,0,0,0,30,40,16,8,"107,460m","108,331m",167,171,163,140,8.6%,7.1%,44.2%,55.8%,https://www.football-lab.jp/kobe/report/?year=2017&month=10&date=29
H,広島,L,1,2,13,16,5,1,0,0,504,512,28,12,16,13,2,1,3,8,17,15,17,8,19,23,25,26,5,2,1,2,0,2,0,0,50,42,22,20,"115,839m","112,276m",146,171,124,127,10.5%,12.6%,49.1%,50.9%,https://www.football-lab.jp/kobe/report/?year=2017&month=11&date=18
A,Ｃ大阪,L,1,3,18,6,9,2,0,0,415,403,19,14,16,13,2,2,10,3,20,21,11,9,13,23,23,33,5,2,2,2,2,1,0,0,53,45,16,7,"115,212m","107,560m",214,178,127,119,14.2%,5.0%,49.4%,50.6%,https://www.football-lab.jp/kobe/report/?year=2017&month=11&date=26
H,清水,L,1,3,8,14,5,4,0,0,262,653,12,23,17,11,3,6,4,4,16,29,11,11,23,14,33,11,3,2,6,3,1,2,0,0,27,54,9,13,"112,225m","107,557m",141,130,132,127,6.1%,11.0%,35.3%,64.7%,https://www.football-lab.jp/kobe/report/?year=2017&month=12&date=02
