HOME/AWAY,Opponent,勝敗,shon_得点,shon_失点,shon_シュート,Opponent_シュート,shon_枠内シュート,Opponent_枠内シュート,shon_PKによるシュート,Opponent_PKによるシュート,shon_パス,Opponent_パス,shon_クロス,Opponent_クロス,shon_直接ＦＫ,Opponent_直接ＦＫ,shon_間接ＦＫ,Opponent_間接ＦＫ,shon_ＣＫ,Opponent_ＣＫ,shon_スローイン,Opponent_スローイン,shon_ドリブル,Opponent_ドリブル,shon_タックル,Opponent_タックル,shon_クリア,Opponent_クリア,shon_インターセプト,Opponent_インターセプト,shon_オフサイド,Opponent_オフサイド,shon_警告,Opponent_警告,shon_退場,Opponent_退場,shon_３０ｍライン進入,Opponent_３０ｍライン進入,shon_ペナルティエリア進入,Opponent_ペナルティエリア進入,shon_総移動距離,Opponent_総移動距離,shon_スプリント,Opponent_スプリント,shon_攻撃回数,Opponent_攻撃回数,shon_チャンス構築率,Opponent_チャンス構築率,shon_ボール保持率,Opponent_ボール保持率,URL
H,長崎,W,2,1,9,14,4,5,0,0,512,269,16,16,14,19,0,2,2,5,24,22,7,7,22,24,33,31,2,2,2,0,2,0,0,0,42,28,9,13,"116,372m","118,980m",189,213,122,124,7.4%,11.3%,62.2%,37.8%,https://www.football-lab.jp/shon/report/?year=2018&month=02&date=24
A,川崎Ｆ,D,1,1,14,21,4,6,0,0,408,626,14,19,8,10,4,6,8,7,21,23,8,15,23,13,34,20,5,2,5,4,2,1,0,0,27,56,14,22,"117,237m","110,812m",185,151,125,126,11.2%,16.7%,41.7%,58.3%,https://www.football-lab.jp/shon/report/?year=2018&month=03&date=02
H,名古屋,D,0,0,7,13,2,5,0,0,417,624,15,17,10,17,1,8,2,3,18,24,9,17,41,13,27,18,4,3,8,1,2,1,0,0,39,46,11,14,"113,586m","113,643m",199,157,121,131,5.8%,9.9%,44.5%,55.5%,https://www.football-lab.jp/shon/report/?year=2018&month=03&date=11
A,FC東京,L,0,1,2,19,1,7,0,0,487,460,11,13,12,15,4,1,2,5,21,25,10,8,22,24,16,20,0,1,1,3,1,1,0,0,24,47,4,22,"115,336m","114,011m",178,191,128,133,1.6%,14.3%,48.2%,51.8%,https://www.football-lab.jp/shon/report/?year=2018&month=03&date=18
A,Ｃ大阪,L,1,2,6,16,2,4,0,0,414,562,13,25,6,14,6,1,5,5,21,18,10,11,25,20,21,18,4,1,1,6,3,1,0,0,28,61,14,15,"121,852m","114,823m",225,171,125,131,4.8%,12.2%,43.1%,56.9%,https://www.football-lab.jp/shon/report/?year=2018&month=03&date=31
H,鹿島,W,2,1,8,18,3,7,0,0,297,500,16,17,16,21,6,5,4,9,28,27,15,12,30,17,24,18,0,2,5,4,3,1,0,0,25,47,14,26,"120,005m","113,457m",185,176,132,136,6.1%,13.2%,40.7%,59.3%,https://www.football-lab.jp/shon/report/?year=2018&month=04&date=07
A,札幌,L,0,1,12,20,3,4,0,0,310,604,15,21,14,4,5,0,2,7,18,27,13,22,30,13,29,22,2,4,0,5,1,1,0,0,24,51,6,17,"116,739m","115,659m",146,127,125,125,9.6%,16.0%,36.9%,63.1%,https://www.football-lab.jp/shon/report/?year=2018&month=04&date=11
H,広島,L,0,2,13,13,3,4,0,0,440,405,22,13,20,16,3,3,5,7,25,14,19,10,13,22,16,21,3,2,3,3,2,0,0,0,45,43,18,13,"117,987m","114,817m",172,149,133,128,9.8%,10.2%,50.2%,49.8%,https://www.football-lab.jp/shon/report/?year=2018&month=04&date=15
A,横浜FM,D,4,4,11,22,5,5,0,0,300,720,9,38,10,15,2,3,3,13,11,25,7,24,25,17,43,9,2,1,3,2,1,2,0,0,20,81,9,33,"117,506m","116,912m",158,182,118,144,9.3%,15.3%,33.8%,66.2%,https://www.football-lab.jp/shon/report/?year=2018&month=04&date=21
H,Ｇ大阪,W,1,0,20,9,6,0,0,0,311,622,12,16,10,9,4,2,5,4,21,29,11,11,18,8,26,26,2,3,1,4,1,1,0,0,33,55,12,12,"118,315m","114,308m",163,168,110,115,18.2%,7.8%,36.1%,63.9%,https://www.football-lab.jp/shon/report/?year=2018&month=04&date=25
A,浦和,W,1,0,7,14,3,3,0,0,350,670,12,29,9,16,0,2,3,5,23,33,12,17,27,19,44,19,5,3,2,0,1,0,0,0,31,60,9,23,"117,222m","113,933m",150,147,121,130,5.8%,10.8%,37.6%,62.4%,https://www.football-lab.jp/shon/report/?year=2018&month=04&date=28
H,柏,L,1,2,11,21,4,9,0,0,352,469,18,20,12,9,1,2,8,4,36,23,11,15,13,20,28,40,1,2,2,1,1,1,0,0,28,52,10,24,"117,731m","110,269m",208,184,138,123,8.0%,17.1%,42.8%,57.2%,https://www.football-lab.jp/shon/report/?year=2018&month=05&date=02
H,仙台,L,1,3,20,10,6,5,1,2,375,389,23,8,12,16,0,1,4,3,24,28,17,6,26,18,19,27,2,1,1,0,4,1,0,0,46,33,22,12,"111,686m","114,033m",169,161,117,128,17.1%,7.8%,50%,50%,https://www.football-lab.jp/shon/report/?year=2018&month=05&date=06
A,清水,L,2,4,16,8,6,4,0,2,553,255,32,12,14,12,1,2,14,1,24,14,21,6,20,26,19,31,3,3,2,1,0,2,0,1,64,26,30,11,"113,248m","110,414m",140,126,134,116,11.9%,6.9%,60.3%,39.7%,https://www.football-lab.jp/shon/report/?year=2018&month=05&date=12
H,磐田,W,1,0,9,16,2,4,0,0,369,594,7,14,7,17,0,3,1,6,30,33,9,5,24,20,29,10,3,0,3,0,1,1,0,0,28,54,3,20,"115,821m","115,076m",170,165,134,145,6.7%,11.0%,41.4%,58.6%,https://www.football-lab.jp/shon/report/?year=2018&month=05&date=19
H,鳥栖,D,1,1,10,14,3,3,0,0,332,510,17,28,13,18,3,5,1,6,19,22,9,18,21,13,30,17,0,2,6,3,2,1,0,0,28,57,8,19,"115,519m","111,537m",161,167,117,133,8.5%,10.5%,41.1%,58.9%,https://www.football-lab.jp/shon/report/?year=2018&month=07&date=18
A,神戸,W,3,0,7,9,5,1,0,0,261,625,14,19,8,16,1,1,5,7,26,26,13,7,16,19,28,23,2,1,1,1,1,0,0,0,32,40,13,15,"118,087m","107,712m",189,141,113,116,6.2%,7.8%,34.3%,65.7%,https://www.football-lab.jp/shon/report/?year=2018&month=07&date=22
A,柏,W,2,0,12,24,4,3,1,0,258,571,18,35,11,14,3,1,1,8,30,33,17,21,14,18,46,27,2,1,1,3,0,0,0,0,27,51,7,24,"119,529m","109,002m",169,147,131,134,9.2%,17.9%,37.2%,62.8%,https://www.football-lab.jp/shon/report/?year=2018&month=08&date=01
A,広島,D,2,2,10,17,2,9,1,1,387,518,13,22,10,6,5,2,3,12,18,22,9,16,18,17,42,11,0,0,2,5,1,1,0,0,32,47,10,22,"118,283m","115,183m",187,144,108,118,9.3%,14.4%,45.4%,54.6%,https://www.football-lab.jp/shon/report/?year=2018&month=08&date=05
H,横浜FM,L,0,1,16,14,6,3,0,0,330,527,19,19,6,17,7,2,9,6,22,30,13,17,23,23,17,20,5,1,2,7,1,0,0,0,40,34,15,19,"116,357m","110,121m",232,181,125,139,12.8%,10.1%,39.6%,60.4%,https://www.football-lab.jp/shon/report/?year=2018&month=08&date=11
A,仙台,L,1,4,20,13,4,5,0,0,445,287,23,14,17,10,1,0,4,6,24,23,12,15,25,17,23,25,3,1,0,1,1,0,0,0,46,28,18,17,"111,509m","107,077m",145,117,123,128,16.3%,10.2%,56.1%,43.9%,https://www.football-lab.jp/shon/report/?year=2018&month=08&date=15
H,神戸,L,0,2,18,9,2,5,0,0,463,458,26,5,16,18,3,3,5,2,27,22,27,7,15,25,16,39,3,0,3,3,1,1,0,0,67,23,16,10,"118,804m","113,860m",197,168,118,120,15.3%,7.5%,50.1%,49.9%,https://www.football-lab.jp/shon/report/?year=2018&month=08&date=19
H,FC東京,D,0,0,10,16,2,4,0,0,411,415,16,10,13,13,4,1,4,8,20,17,14,15,12,17,32,21,2,1,1,3,2,1,0,0,37,32,11,19,"110,133m","106,484m",143,128,105,111,9.5%,14.4%,49.6%,50.4%,https://www.football-lab.jp/shon/report/?year=2018&month=08&date=26
A,長崎,W,3,1,20,16,6,4,0,0,292,394,11,23,8,14,1,1,7,5,17,31,18,18,20,24,44,23,4,4,1,1,1,1,0,0,33,39,20,19,"110,841m","109,816m",170,155,114,132,17.5%,12.1%,46%,54%,https://www.football-lab.jp/shon/report/?year=2018&month=08&date=31
A,鹿島,L,1,2,10,14,4,3,0,0,444,446,12,18,17,13,1,3,4,5,27,18,15,9,19,22,28,25,3,1,2,1,1,0,0,0,28,39,8,16,"114,729m","110,010m",173,151,130,120,7.7%,11.7%,51.3%,48.7%,https://www.football-lab.jp/shon/report/?year=2018&month=09&date=14
H,Ｃ大阪,D,1,1,11,24,5,9,0,0,338,568,11,22,10,11,0,0,3,11,19,25,9,15,14,17,41,11,2,3,0,0,0,1,0,0,22,68,11,19,"111,898m","105,050m",162,136,117,122,9.4%,19.7%,39.4%,60.6%,https://www.football-lab.jp/shon/report/?year=2018&month=09&date=22
H,川崎Ｆ,D,0,0,7,14,1,6,0,1,301,775,8,21,9,17,2,0,3,6,16,30,15,13,15,24,45,15,2,3,0,2,2,1,0,0,33,58,5,22,"115,024m","107,394m",177,140,111,120,6.3%,11.7%,36.6%,63.4%,https://www.football-lab.jp/shon/report/?year=2018&month=09&date=26
A,鳥栖,W,1,0,10,27,4,2,0,0,291,399,10,35,12,16,3,5,3,8,15,35,7,18,13,16,50,11,1,0,4,3,1,0,0,0,29,54,8,30,"116,934m","115,182m",177,180,131,144,7.6%,18.8%,44.2%,55.8%,https://www.football-lab.jp/shon/report/?year=2018&month=10&date=06
H,札幌,D,2,2,9,22,5,5,0,0,287,473,16,20,15,11,3,0,6,5,17,22,16,21,11,18,36,20,1,2,0,3,1,0,0,0,31,45,13,22,"111,645m","110,369m",188,186,127,126,7.1%,17.5%,43.4%,56.6%,https://www.football-lab.jp/shon/report/?year=2018&month=10&date=20
A,磐田,L,0,1,7,14,2,3,0,0,534,396,18,15,11,14,1,3,5,4,33,23,13,12,14,17,17,32,0,3,3,1,0,2,0,0,39,36,11,10,"116,280m","116,470m",173,173,135,133,5.2%,10.5%,52.2%,47.8%,https://www.football-lab.jp/shon/report/?year=2018&month=10&date=30
H,清水,D,0,0,21,7,5,3,0,0,568,365,32,15,10,10,2,2,10,2,24,14,19,10,17,19,17,46,2,0,2,1,1,0,0,0,70,36,24,8,"122,282m","116,987m",229,175,137,114,15.3%,6.1%,57.3%,42.7%,https://www.football-lab.jp/shon/report/?year=2018&month=11&date=02
A,Ｇ大阪,L,0,1,24,13,6,2,0,0,384,546,24,18,14,12,4,2,5,3,22,17,11,10,17,15,23,30,4,3,2,4,1,1,0,0,42,46,19,19,"114,738m","111,969m",203,209,117,113,20.5%,11.5%,45.2%,54.8%,https://www.football-lab.jp/shon/report/?year=2018&month=11&date=10
H,浦和,W,2,1,9,28,4,3,0,0,310,604,10,17,11,18,1,1,4,4,17,22,20,17,18,29,40,15,2,4,1,1,1,1,0,0,33,52,13,25,"120,313m","115,011m",175,164,122,122,7.4%,23.0%,40.9%,59.1%,https://www.football-lab.jp/shon/report/?year=2018&month=11&date=24
A,名古屋,D,2,2,10,12,2,3,1,2,253,488,18,24,15,22,0,0,5,4,24,26,10,16,12,16,31,18,1,0,0,0,1,4,0,0,18,54,12,18,"110,456m","110,948m",141,150,125,136,8.0%,8.8%,38.6%,61.4%,https://www.football-lab.jp/shon/report/?year=2018&month=12&date=01
