HOME/AWAY,Opponent,勝敗,tosu_得点,tosu_失点,tosu_シュート,Opponent_シュート,tosu_枠内シュート,Opponent_枠内シュート,tosu_PKによるシュート,Opponent_PKによるシュート,tosu_パス,Opponent_パス,tosu_クロス,Opponent_クロス,tosu_直接ＦＫ,Opponent_直接ＦＫ,tosu_間接ＦＫ,Opponent_間接ＦＫ,tosu_ＣＫ,Opponent_ＣＫ,tosu_スローイン,Opponent_スローイン,tosu_ドリブル,Opponent_ドリブル,tosu_タックル,Opponent_タックル,tosu_クリア,Opponent_クリア,tosu_インターセプト,Opponent_インターセプト,tosu_オフサイド,Opponent_オフサイド,tosu_警告,Opponent_警告,tosu_退場,Opponent_退場,tosu_３０ｍライン進入,Opponent_３０ｍライン進入,tosu_ペナルティエリア進入,Opponent_ペナルティエリア進入,tosu_総移動距離,Opponent_総移動距離,tosu_スプリント,Opponent_スプリント,tosu_攻撃回数,Opponent_攻撃回数,tosu_チャンス構築率,Opponent_チャンス構築率,tosu_ボール保持率,Opponent_ボール保持率,URL
H,神戸,D,1,1,7,19,2,7,1,0,328,646,12,24,16,16,1,2,2,12,18,30,13,15,22,21,48,20,1,0,2,1,1,4,0,0,31,52,9,18,"119,409m","117,921m",163,163,126,147,5.6%,12.9%,38.6%,61.4%,https://www.football-lab.jp/tosu/report/?year=2018&month=02&date=23
A,長崎,D,2,2,18,9,5,4,0,0,565,297,18,13,23,14,6,1,7,3,32,16,11,12,15,20,14,37,2,5,1,6,3,1,0,0,50,27,17,12,"117,064m","124,425m",155,176,138,128,13.0%,7.0%,60.9%,39.1%,https://www.football-lab.jp/tosu/report/?year=2018&month=03&date=03
A,横浜FM,W,2,1,15,10,4,4,1,0,208,649,9,18,14,17,3,2,7,3,28,31,15,18,36,34,20,16,1,0,2,3,3,3,0,0,26,40,9,16,"113,658m","116,089m",179,170,123,125,12.2%,8.0%,32.7%,67.3%,https://www.football-lab.jp/tosu/report/?year=2018&month=03&date=10
H,鹿島,L,0,1,11,9,5,2,0,0,380,315,16,8,15,14,2,3,10,3,23,34,26,13,34,37,25,45,1,4,2,2,3,3,0,0,47,36,18,13,"106,365m","106,963m",181,192,146,136,7.5%,6.6%,52.1%,47.9%,https://www.football-lab.jp/tosu/report/?year=2018&month=03&date=18
H,名古屋,W,3,2,17,10,3,5,0,1,332,528,31,6,17,15,5,6,9,5,30,11,23,8,19,20,16,30,2,1,6,5,1,2,0,0,45,24,26,8,"115,235m","119,855m",195,194,136,126,12.5%,7.9%,45.9%,54.1%,https://www.football-lab.jp/tosu/report/?year=2018&month=03&date=31
A,Ｃ大阪,L,1,2,7,14,3,4,0,0,463,502,13,9,15,15,6,3,4,2,28,27,17,10,21,13,18,26,1,2,3,6,2,0,0,0,32,32,9,8,"115,198m","116,037m",150,162,138,134,5.1%,10.4%,49.6%,50.4%,https://www.football-lab.jp/tosu/report/?year=2018&month=04&date=07
H,柏,L,1,2,19,9,7,5,0,0,478,433,32,12,12,10,3,2,12,4,35,27,22,10,27,27,22,47,1,3,2,3,0,0,0,0,49,38,24,9,"117,207m","117,234m",153,170,147,140,12.9%,6.4%,49.6%,50.4%,https://www.football-lab.jp/tosu/report/?year=2018&month=04&date=11
A,磐田,L,0,1,13,9,4,4,0,0,398,403,14,7,16,22,3,1,4,4,25,28,12,13,28,20,21,32,1,1,1,3,3,1,0,0,37,28,14,7,"110,193m","112,477m",167,147,129,140,10.1%,6.4%,50.5%,49.5%,https://www.football-lab.jp/tosu/report/?year=2018&month=04&date=15
A,広島,L,0,1,13,11,1,4,0,0,443,501,14,20,10,12,1,2,2,4,19,32,13,7,14,21,25,11,4,0,0,1,3,1,0,0,47,61,17,15,"109,586m","111,236m",160,133,119,129,10.9%,8.5%,48.6%,51.4%,https://www.football-lab.jp/tosu/report/?year=2018&month=04&date=21
H,川崎Ｆ,L,0,2,8,6,2,2,0,0,475,750,18,8,14,18,1,0,6,1,29,17,15,8,28,28,16,28,3,2,0,1,1,0,0,0,48,36,12,11,"120,339m","115,570m",215,178,122,115,6.6%,5.2%,43.1%,56.9%,https://www.football-lab.jp/tosu/report/?year=2018&month=04&date=25
A,Ｇ大阪,L,0,3,10,23,1,8,0,0,336,479,15,19,15,12,5,2,3,9,25,23,4,12,32,24,23,22,0,2,2,5,0,1,0,0,25,65,12,21,"112,718m","112,896m",208,208,134,142,7.5%,16.2%,43%,57%,https://www.football-lab.jp/tosu/report/?year=2018&month=04&date=29
H,札幌,L,1,2,18,13,9,3,0,0,396,575,10,15,13,10,2,1,7,5,17,16,10,4,15,22,13,25,3,0,1,2,0,0,0,0,33,32,15,13,"115,223m","117,589m",177,138,118,113,15.3%,11.5%,42.7%,57.3%,https://www.football-lab.jp/tosu/report/?year=2018&month=05&date=02
H,清水,W,3,1,11,20,4,4,1,0,353,462,12,30,6,12,5,2,3,3,25,35,9,13,29,16,41,21,2,2,2,3,2,1,1,0,32,52,12,18,"117,020m","117,747m",163,175,142,152,7.7%,13.2%,46.6%,53.4%,https://www.football-lab.jp/tosu/report/?year=2018&month=05&date=06
A,浦和,D,0,0,2,13,1,3,0,0,372,721,2,24,8,15,2,3,1,10,16,25,8,24,26,24,48,12,3,1,3,2,1,0,0,0,22,82,2,23,"113,621m","114,023m",147,150,127,138,1.6%,9.4%,37.7%,62.3%,https://www.football-lab.jp/tosu/report/?year=2018&month=05&date=13
H,FC東京,D,0,0,10,17,2,7,0,0,316,516,7,20,10,14,5,2,4,11,20,17,12,14,31,26,36,26,3,0,2,5,4,2,0,0,29,58,7,26,"111,424m","112,655m",181,190,123,134,8.1%,12.7%,41.7%,58.3%,https://www.football-lab.jp/tosu/report/?year=2018&month=05&date=20
A,湘南,D,1,1,14,10,3,3,0,0,510,332,28,17,18,13,5,3,6,1,22,19,18,9,13,21,17,30,2,0,3,6,1,2,0,0,57,28,19,8,"111,537m","115,519m",167,161,133,117,10.5%,8.5%,58.9%,41.1%,https://www.football-lab.jp/tosu/report/?year=2018&month=07&date=18
H,仙台,L,0,1,20,7,7,1,0,0,451,375,27,14,13,16,2,1,9,4,22,17,27,18,29,25,10,35,2,1,1,2,1,0,0,0,56,30,22,11,"109,958m","109,466m",148,119,116,118,17.2%,5.9%,51.9%,48.1%,https://www.football-lab.jp/tosu/report/?year=2018&month=07&date=22
H,磐田,D,0,0,12,11,2,1,0,0,404,395,18,13,14,14,4,2,9,1,30,25,14,8,15,16,19,30,2,0,1,4,1,1,0,0,41,35,18,8,"110,970m","109,855m",188,169,126,118,9.5%,9.3%,51.2%,48.8%,https://www.football-lab.jp/tosu/report/?year=2018&month=07&date=28
A,清水,L,0,1,7,5,1,1,0,1,557,340,19,19,15,16,3,0,3,3,22,19,13,11,17,16,32,30,0,1,0,3,3,0,0,0,37,29,9,11,"107,117m","110,355m",109,127,120,119,5.8%,4.2%,59.8%,40.2%,https://www.football-lab.jp/tosu/report/?year=2018&month=08&date=01
H,Ｃ大阪,W,1,0,10,13,3,1,0,0,288,552,7,25,13,11,5,4,6,4,9,22,14,16,15,22,35,20,3,0,4,5,0,0,0,0,35,51,11,16,"110,554m","107,779m",136,121,109,111,9.2%,11.7%,38%,62%,https://www.football-lab.jp/tosu/report/?year=2018&month=08&date=05
H,浦和,W,1,0,10,17,3,4,0,0,269,557,5,13,18,17,5,0,5,6,9,17,10,11,13,15,23,10,2,1,0,5,1,3,0,0,30,55,13,15,"105,509m","104,095m",118,128,106,105,9.4%,16.2%,39.1%,60.9%,https://www.football-lab.jp/tosu/report/?year=2018&month=08&date=11
A,川崎Ｆ,D,0,0,2,27,0,9,0,0,260,825,5,16,12,5,2,0,2,7,11,15,8,18,20,13,28,11,3,3,0,2,0,0,0,0,15,81,7,28,"105,320m","100,914m",131,117,99,98,2.0%,27.6%,33%,67%,https://www.football-lab.jp/tosu/report/?year=2018&month=08&date=15
A,名古屋,L,0,3,8,13,2,6,0,0,441,511,19,7,9,21,1,0,4,2,25,21,6,9,21,23,20,27,3,3,0,2,1,0,0,0,48,39,14,16,"112,525m","117,327m",152,179,123,123,6.5%,10.6%,50.4%,49.6%,https://www.football-lab.jp/tosu/report/?year=2018&month=08&date=19
H,Ｇ大阪,W,3,0,13,12,6,1,0,0,286,646,22,13,6,12,2,1,5,3,27,28,13,10,25,22,22,19,3,0,1,2,0,1,0,0,34,53,18,11,"111,470m","108,833m",148,155,118,122,11.0%,9.8%,38.3%,61.7%,https://www.football-lab.jp/tosu/report/?year=2018&month=08&date=26
A,FC東京,D,0,0,9,19,1,4,0,0,402,523,26,13,12,8,2,1,3,7,19,14,14,18,15,21,24,23,1,3,1,2,1,0,0,0,45,55,17,18,"113,578m","111,390m",167,178,115,104,7.8%,18.3%,45%,55%,https://www.football-lab.jp/tosu/report/?year=2018&month=09&date=02
H,広島,W,1,0,19,10,5,2,0,0,484,404,15,11,12,19,1,2,6,2,18,14,20,6,12,19,19,20,2,2,2,1,1,0,0,0,55,41,15,18,"110,939m","112,492m",152,134,115,114,16.5%,8.8%,54.1%,45.9%,https://www.football-lab.jp/tosu/report/?year=2018&month=09&date=15
A,柏,D,1,1,15,19,3,6,0,0,435,516,23,20,15,5,0,2,4,6,25,19,21,9,20,18,29,43,0,0,2,0,0,1,0,0,42,49,22,19,"109,965m","111,318m",143,137,128,118,11.7%,16.1%,48.7%,51.3%,https://www.football-lab.jp/tosu/report/?year=2018&month=09&date=22
A,札幌,L,1,2,17,15,5,8,0,2,377,479,22,12,13,11,3,2,12,2,19,13,17,10,13,20,21,37,5,4,2,2,3,4,0,0,43,41,14,16,"109,635m","112,467m",140,125,126,113,13.5%,13.3%,47.8%,52.2%,https://www.football-lab.jp/tosu/report/?year=2018&month=09&date=29
H,湘南,L,0,1,27,10,2,4,0,0,399,291,35,10,16,12,5,3,8,3,35,15,18,7,16,13,11,50,0,1,3,4,0,1,0,0,54,29,30,8,"115,182m","116,934m",180,177,144,131,18.8%,7.6%,55.8%,44.2%,https://www.football-lab.jp/tosu/report/?year=2018&month=10&date=06
A,仙台,W,3,2,13,15,5,3,0,1,341,484,11,21,17,11,3,5,6,3,10,24,13,14,28,15,28,28,2,2,5,2,1,1,0,0,33,47,17,17,"118,427m","115,635m",175,151,119,123,10.9%,12.2%,47.5%,52.5%,https://www.football-lab.jp/tosu/report/?year=2018&month=10&date=20
H,長崎,W,1,0,10,14,2,6,0,0,368,270,19,21,19,22,1,4,6,3,20,16,13,11,24,20,38,28,1,0,4,1,3,3,0,0,43,31,7,12,"114,198m","116,746m",194,177,131,132,7.6%,10.6%,56.8%,43.2%,https://www.football-lab.jp/tosu/report/?year=2018&month=11&date=04
A,神戸,D,0,0,7,13,0,1,0,0,343,609,17,15,15,16,1,1,1,5,22,28,14,14,28,26,17,18,4,2,1,1,1,2,0,0,30,46,12,11,"112,832m","107,528m",134,128,119,125,5.9%,10.4%,36.4%,63.6%,https://www.football-lab.jp/tosu/report/?year=2018&month=11&date=10
H,横浜FM,W,2,1,13,4,4,3,1,0,334,480,27,20,17,12,5,3,8,3,27,20,15,11,27,20,22,36,2,4,3,5,3,1,0,0,39,42,17,11,"115,660m","116,724m",172,165,145,137,9.0%,2.9%,42.2%,57.8%,https://www.football-lab.jp/tosu/report/?year=2018&month=11&date=24
A,鹿島,D,0,0,10,10,2,1,0,0,279,488,11,19,24,16,2,1,3,7,25,21,15,5,24,20,31,26,1,0,1,2,0,3,0,0,29,40,5,11,"107,238m","102,711m",156,123,142,141,7.0%,7.1%,40.8%,59.2%,https://www.football-lab.jp/tosu/report/?year=2018&month=12&date=01
