HOME/AWAY,Opponent,勝敗,c-os_得点,c-os_失点,c-os_ゴール期待値,Opponent_ゴール期待値,c-os_シュート,Opponent_シュート,c-os_枠内シュート,Opponent_枠内シュート,c-os_PKによるシュート,Opponent_PKによるシュート,c-os_パス,Opponent_パス,c-os_クロス,Opponent_クロス,c-os_直接ＦＫ,Opponent_直接ＦＫ,c-os_間接ＦＫ,Opponent_間接ＦＫ,c-os_ＣＫ,Opponent_ＣＫ,c-os_スローイン,Opponent_スローイン,c-os_ドリブル,Opponent_ドリブル,c-os_タックル,Opponent_タックル,c-os_クリア,Opponent_クリア,c-os_インターセプト,Opponent_インターセプト,c-os_オフサイド,Opponent_オフサイド,c-os_警告,Opponent_警告,c-os_退場,Opponent_退場,c-os_３０ｍライン進入,Opponent_３０ｍライン進入,c-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,c-os_総移動距離,Opponent_総移動距離,c-os_スプリント,Opponent_スプリント,c-os_攻撃回数,Opponent_攻撃回数,c-os_チャンス構築率,Opponent_チャンス構築率,c-os_ボール保持率,Opponent_ボール保持率,URL
H,大分,W,1,0,1.02,2.111,11,18,2,2,0,0,430,608,14,24,12,5,2,0,6,12,16,17,4,6,12,14,31,11,3,2,0,2,0,0,0,0,25,60,11,11,"118,070m","117,317m",135,153,99,98,11.1%,18.4%,45.2%,54.8%,https://www.football-lab.jp/c-os/report/?year=2020&month=02&date=22
A,Ｇ大阪,W,2,1,1,2.094,11,13,3,5,0,1,410,624,7,15,12,5,1,2,3,6,15,16,5,10,21,24,24,12,1,2,2,1,1,0,0,0,43,53,5,20,"111,907m","112,817m",133,140,99,97,11.1%,13.4%,44.7%,55.3%,https://www.football-lab.jp/c-os/report/?year=2020&month=07&date=04
H,清水,W,2,0,1.039,1.058,18,11,4,2,0,0,553,492,20,16,12,6,1,4,5,2,21,14,15,13,26,22,14,17,4,1,3,1,1,1,0,0,54,50,23,6,"111,464m","111,410m",131,142,110,97,16.4%,11.3%,55.6%,44.4%,https://www.football-lab.jp/c-os/report/?year=2020&month=07&date=08
H,名古屋,L,0,2,0.824,0.566,11,12,2,4,0,0,662,366,11,8,9,9,3,1,6,6,28,9,11,11,11,16,11,26,2,2,1,2,2,1,0,0,53,37,12,6,"116,956m","122,169m",122,149,113,100,9.7%,12.0%,62.1%,37.9%,https://www.football-lab.jp/c-os/report/?year=2020&month=07&date=12
A,広島,W,2,1,0.861,1.512,10,13,2,7,0,1,516,500,14,14,17,10,3,1,3,5,17,16,12,12,14,22,15,12,3,2,0,3,0,1,0,0,46,55,11,11,"114,575m","111,411m",145,175,113,109,8.8%,11.9%,52.2%,47.8%,https://www.football-lab.jp/c-os/report/?year=2020&month=07&date=18
H,神戸,D,0,0,1.279,0.821,12,8,3,4,0,0,534,543,12,14,13,10,2,0,5,2,14,11,9,5,10,13,12,17,0,1,0,2,0,2,0,0,38,57,6,7,"110,945m","106,652m",95,120,84,78,14.3%,10.3%,51.4%,48.6%,https://www.football-lab.jp/c-os/report/?year=2020&month=07&date=22
A,鳥栖,D,1,1,1.467,1.375,13,15,2,5,0,0,522,387,14,18,9,7,1,2,5,8,18,12,9,12,12,16,21,21,1,0,2,1,2,1,0,0,35,40,12,12,"112,034m","117,147m",134,171,81,87,16.0%,17.2%,54.2%,45.8%,https://www.football-lab.jp/c-os/report/?year=2020&month=07&date=26
A,湘南,W,1,0,1.802,0.197,14,4,4,1,1,0,534,470,20,21,19,8,1,1,7,1,18,20,13,9,11,13,22,22,2,3,1,1,0,5,0,0,32,41,12,9,"111,681m","114,113m",96,127,103,89,13.6%,4.5%,52%,48%,https://www.football-lab.jp/c-os/report/?year=2020&month=08&date=01
H,FC東京,D,0,0,0.706,1.585,9,18,5,6,0,0,536,367,20,14,16,9,3,2,3,7,17,13,11,9,12,23,24,27,0,3,2,3,2,2,0,0,59,44,12,14,"107,582m","108,215m",119,163,108,108,8.3%,16.7%,57.1%,42.9%,https://www.football-lab.jp/c-os/report/?year=2020&month=08&date=09
A,柏,W,3,1,0.429,2.297,6,22,3,8,0,0,347,534,4,31,15,11,2,3,1,5,14,22,8,12,14,18,44,11,2,0,3,2,1,2,0,0,18,77,4,23,"106,918m","104,126m",86,113,106,111,5.7%,19.8%,44.4%,55.6%,https://www.football-lab.jp/c-os/report/?year=2020&month=08&date=15
A,川崎Ｆ,L,2,5,1.421,2.488,12,15,6,9,0,1,481,556,9,6,15,6,1,0,2,4,11,16,7,13,19,16,13,16,2,4,0,1,0,1,0,0,40,64,3,21,"108,419m","107,622m",121,131,104,100,11.5%,15.0%,47.8%,52.2%,https://www.football-lab.jp/c-os/report/?year=2020&month=08&date=19
H,仙台,W,2,1,0.651,0.411,10,8,4,2,0,0,435,516,11,16,17,7,1,3,6,5,17,19,12,10,18,14,23,17,1,5,3,1,2,0,0,0,37,43,9,8,"111,141m","113,734m",112,133,110,106,9.1%,7.5%,50.3%,49.7%,https://www.football-lab.jp/c-os/report/?year=2020&month=08&date=23
A,横浜FC,W,2,1,0.964,1.158,11,16,3,5,0,0,333,591,9,29,14,10,1,2,3,10,14,15,16,10,8,16,40,14,0,2,2,1,0,0,0,0,31,50,9,13,"113,483m","114,187m",123,134,97,101,11.3%,15.8%,39.7%,60.3%,https://www.football-lab.jp/c-os/report/?year=2020&month=08&date=30
H,浦和,W,3,0,0.845,1.003,12,15,3,1,0,0,398,526,7,24,15,5,1,0,2,7,15,19,6,13,15,13,34,9,2,2,0,1,1,1,0,0,30,51,7,16,"111,638m","108,612m",150,161,102,101,11.8%,14.9%,46.3%,53.7%,https://www.football-lab.jp/c-os/report/?year=2020&month=09&date=05
H,札幌,W,2,0,1.318,1.739,9,15,2,3,0,0,334,620,3,30,21,9,2,0,1,9,9,19,5,17,10,20,29,6,1,1,0,2,0,4,0,0,20,62,7,14,"114,544m","112,070m",123,129,100,106,9.0%,14.2%,38.7%,61.3%,https://www.football-lab.jp/c-os/report/?year=2020&month=09&date=09
A,横浜FM,W,2,1,1.832,2.314,14,21,4,4,0,0,454,756,15,32,12,4,2,0,2,5,11,15,12,9,18,22,35,7,4,3,0,1,0,1,0,1,34,80,12,27,"115,010m","118,388m",139,165,110,110,12.7%,19.1%,42.7%,57.3%,https://www.football-lab.jp/c-os/report/?year=2020&month=09&date=13
A,神戸,W,1,0,0.721,1.562,12,22,3,3,0,0,239,708,4,25,9,7,1,0,3,11,12,20,4,13,8,17,49,6,5,2,0,1,0,1,1,0,15,113,5,21,"108,541m","108,068m",92,119,86,98,14.0%,22.4%,31.7%,68.3%,https://www.football-lab.jp/c-os/report/?year=2020&month=09&date=16
H,鹿島,L,1,2,1.667,2.265,13,11,3,5,0,0,509,394,20,18,16,11,2,2,7,3,28,23,13,10,17,26,23,34,2,1,2,1,1,1,0,0,45,50,11,14,"115,211m","116,978m",152,210,121,112,10.7%,9.8%,54.1%,45.9%,https://www.football-lab.jp/c-os/report/?year=2020&month=09&date=19
A,FC東京,L,0,2,1.699,1.561,17,13,4,7,0,0,619,276,12,11,11,12,2,2,6,7,18,19,11,14,17,17,17,22,0,2,2,2,1,1,0,0,47,35,6,10,"111,321m","115,421m",114,196,107,103,15.9%,12.6%,65.1%,34.9%,https://www.football-lab.jp/c-os/report/?year=2020&month=09&date=23
A,仙台,W,3,2,2.27,1.619,19,9,5,5,0,1,521,335,17,17,11,4,0,3,8,5,18,25,15,13,15,11,17,22,1,0,3,0,0,0,0,0,46,30,12,7,"109,700m","113,853m",152,159,113,109,16.8%,8.3%,58.8%,41.2%,https://www.football-lab.jp/c-os/report/?year=2020&month=09&date=27
H,川崎Ｆ,L,1,3,1.046,2.135,13,13,3,6,0,0,462,715,14,18,11,5,1,2,8,5,15,13,16,15,25,28,20,30,1,1,2,1,0,2,0,0,38,74,10,28,"119,247m","114,811m",121,144,106,95,12.3%,13.7%,44%,56%,https://www.football-lab.jp/c-os/report/?year=2020&month=10&date=03
A,名古屋,L,0,1,0.384,1.107,6,12,2,4,0,0,455,596,14,19,8,12,3,1,1,4,12,23,5,17,11,10,30,20,4,1,1,3,0,1,0,0,44,54,12,18,"113,472m","114,846m",111,121,89,100,6.7%,12.0%,44.2%,55.8%,https://www.football-lab.jp/c-os/report/?year=2020&month=10&date=10
H,湘南,W,1,0,0.917,0.793,13,10,3,1,0,0,495,392,16,14,9,8,0,6,9,5,26,15,7,5,13,23,13,26,0,2,6,0,2,1,0,0,29,36,4,9,"121,125m","122,704m",147,224,121,108,10.7%,9.3%,54.3%,45.7%,https://www.football-lab.jp/c-os/report/?year=2020&month=10&date=14
H,横浜FM,W,4,1,1.99,0.691,18,13,7,4,0,0,411,664,20,24,15,6,3,2,5,5,32,27,18,7,28,29,28,29,6,1,2,3,1,1,0,0,27,67,15,19,"126,819m","128,744m",180,206,144,131,12.5%,9.9%,42.3%,57.7%,https://www.football-lab.jp/c-os/report/?year=2020&month=10&date=17
A,浦和,L,1,3,1.005,2.579,14,16,3,6,0,1,557,371,19,9,13,7,0,0,8,4,24,10,14,11,8,21,14,32,2,0,0,0,1,2,0,0,57,35,12,13,"117,629m","112,828m",121,153,113,97,12.4%,16.5%,57.6%,42.4%,https://www.football-lab.jp/c-os/report/?year=2020&month=10&date=24
H,Ｇ大阪,D,1,1,2.139,0.703,15,9,1,4,0,0,490,447,16,21,15,7,2,3,5,3,14,21,9,10,19,18,25,26,1,1,3,2,1,5,0,0,50,44,12,14,"112,111m","112,349m",116,135,107,109,14.0%,8.3%,53.4%,46.6%,https://www.football-lab.jp/c-os/report/?year=2020&month=11&date=03
A,清水,L,1,3,1.291,1.691,19,19,1,8,0,0,534,425,19,13,16,7,0,1,3,5,16,12,13,10,18,23,20,23,5,4,1,0,1,1,0,0,47,35,15,15,"110,533m","110,548m",126,142,116,109,16.4%,17.4%,56.1%,43.9%,https://www.football-lab.jp/c-os/report/?year=2020&month=11&date=14
H,広島,L,0,1,1.584,0.688,14,11,2,2,0,0,569,340,20,9,19,7,4,3,6,3,16,23,17,8,16,14,21,35,1,1,3,4,2,4,0,1,57,31,24,12,"114,030m","107,211m",119,129,113,104,12.4%,10.6%,59.4%,40.6%,https://www.football-lab.jp/c-os/report/?year=2020&month=11&date=21
A,大分,W,1,0,0.777,0.867,9,9,1,5,0,0,356,802,4,19,12,2,0,2,2,4,22,14,7,3,10,20,24,13,0,2,2,0,0,0,0,0,23,63,8,9,"121,816m","118,576m",134,135,96,86,9.4%,10.5%,35.2%,64.8%,https://www.football-lab.jp/c-os/report/?year=2020&month=11&date=25
H,横浜FC,W,1,0,1.217,0.671,11,12,4,1,0,0,515,591,18,13,13,6,0,0,6,2,13,22,14,6,23,16,24,16,1,2,0,0,0,1,0,0,47,63,11,13,"116,694m","118,452m",114,148,108,100,10.2%,12.0%,48.6%,51.4%,https://www.football-lab.jp/c-os/report/?year=2020&month=11&date=29
A,札幌,W,3,1,2.576,0.937,19,10,7,4,0,0,410,654,9,24,11,13,1,0,1,5,16,23,9,18,17,24,26,8,1,1,0,1,0,1,0,0,27,63,16,18,"120,433m","117,564m",134,141,121,129,15.7%,7.8%,42.7%,57.3%,https://www.football-lab.jp/c-os/report/?year=2020&month=12&date=05
H,柏,D,0,0,1.373,1.092,12,12,5,4,0,0,481,382,12,14,13,9,2,2,3,4,24,25,19,12,17,23,35,34,4,2,2,2,2,3,0,0,36,36,10,10,"114,515m","112,844m",152,175,129,126,9.3%,9.5%,53.4%,46.6%,https://www.football-lab.jp/c-os/report/?year=2020&month=12&date=12
H,鳥栖,L,1,2,1.343,0.884,15,13,4,4,0,0,566,531,18,12,12,10,0,5,3,0,20,20,9,8,13,16,12,27,3,1,5,0,0,2,0,0,39,48,21,11,"122,874m","129,832m",165,151,113,109,13.3%,11.9%,49%,51%,https://www.football-lab.jp/c-os/report/?year=2020&month=12&date=16
A,鹿島,D,1,1,1.159,3.01,12,23,4,7,0,0,270,670,8,27,16,9,2,0,3,10,13,20,13,21,21,22,42,10,1,0,0,2,0,2,0,0,21,69,11,14,"118,132m","116,341m",160,175,119,130,10.1%,17.7%,35.5%,64.5%,https://www.football-lab.jp/c-os/report/?year=2020&month=12&date=19
