HOME/AWAY,Opponent,勝敗,fctk_得点,fctk_失点,fctk_ゴール期待値,Opponent_ゴール期待値,fctk_シュート,Opponent_シュート,fctk_枠内シュート,Opponent_枠内シュート,fctk_PKによるシュート,Opponent_PKによるシュート,fctk_パス,Opponent_パス,fctk_クロス,Opponent_クロス,fctk_直接ＦＫ,Opponent_直接ＦＫ,fctk_間接ＦＫ,Opponent_間接ＦＫ,fctk_ＣＫ,Opponent_ＣＫ,fctk_スローイン,Opponent_スローイン,fctk_ドリブル,Opponent_ドリブル,fctk_タックル,Opponent_タックル,fctk_クリア,Opponent_クリア,fctk_インターセプト,Opponent_インターセプト,fctk_オフサイド,Opponent_オフサイド,fctk_警告,Opponent_警告,fctk_退場,Opponent_退場,fctk_３０ｍライン進入,Opponent_３０ｍライン進入,fctk_ペナルティエリア進入,Opponent_ペナルティエリア進入,fctk_総移動距離,Opponent_総移動距離,fctk_スプリント,Opponent_スプリント,fctk_攻撃回数,Opponent_攻撃回数,fctk_チャンス構築率,Opponent_チャンス構築率,fctk_ボール保持率,Opponent_ボール保持率,URL
H,浦和,W,2,0,0.819,0.168,10,4,3,0,0,0,496,464,13,10,11,15,3,0,2,0,23,31,15,12,31,29,21,20,4,3,0,3,1,2,0,0,33,34,11,4,"119,891m","117,913m",163,167,122,128,8.2%,3.1%,51.3%,48.7%,https://www.football-lab.jp/fctk/report/?year=2023&month=02&date=18
A,柏,D,1,1,1.636,0.818,18,5,4,3,0,0,379,361,11,4,21,16,3,1,3,2,26,26,14,12,36,21,15,21,3,5,0,3,6,0,1,0,29,18,9,8,"110,262m","113,434m",127,103,137,129,13.1%,3.9%,50.8%,49.2%,https://www.football-lab.jp/fctk/report/?year=2023&month=02&date=26
A,京都,L,0,2,0.974,1.409,6,8,1,3,0,1,364,330,9,14,21,10,3,1,6,5,27,20,16,11,18,24,14,18,1,2,1,2,0,1,0,0,27,27,10,9,"109,256m","117,492m",130,150,135,124,4.4%,6.5%,51.9%,48.1%,https://www.football-lab.jp/fctk/report/?year=2023&month=03&date=04
H,横浜FC,W,3,1,2.142,1.214,16,12,6,6,0,0,444,556,11,17,13,12,2,1,6,6,25,23,13,12,33,29,19,15,4,3,1,2,1,2,0,0,29,36,16,9,"119,923m","119,869m",148,125,129,124,12.4%,9.7%,47%,53%,https://www.football-lab.jp/fctk/report/?year=2023&month=03&date=12
A,名古屋,D,0,0,0.382,0.543,7,6,0,1,0,0,571,380,10,11,20,10,3,0,5,2,21,26,9,8,20,21,17,16,4,4,0,3,3,1,0,0,36,28,6,7,"109,998m","112,409m",116,132,115,109,6.1%,5.5%,59.8%,40.2%,https://www.football-lab.jp/fctk/report/?year=2023&month=03&date=18
A,鳥栖,L,0,1,0.18,0.574,4,8,1,3,0,0,532,460,16,23,17,12,4,4,3,4,32,24,17,17,25,22,16,17,4,3,4,4,0,1,0,0,24,38,11,14,"114,460m","124,333m",146,165,143,137,2.8%,5.8%,53.8%,46.2%,https://www.football-lab.jp/fctk/report/?year=2023&month=04&date=01
H,湘南,D,2,2,1.18,3.327,11,19,7,9,0,0,369,465,9,21,19,12,0,2,7,12,27,35,16,12,16,26,40,19,1,0,2,0,0,3,0,0,21,49,8,19,"114,741m","118,652m",146,147,135,141,8.1%,13.5%,46.3%,53.7%,https://www.football-lab.jp/fctk/report/?year=2023&month=04&date=09
H,Ｃ大阪,L,1,2,0.605,1.407,10,15,3,4,0,0,512,419,16,13,16,11,0,3,6,5,25,26,13,6,20,19,11,22,2,3,3,0,0,1,0,0,46,39,9,10,"114,677m","114,177m",128,124,124,114,8.1%,13.2%,54.1%,45.9%,https://www.football-lab.jp/fctk/report/?year=2023&month=04&date=15
A,広島,W,2,1,0.229,1.132,3,12,3,2,0,0,301,456,4,26,19,20,3,3,0,8,12,33,7,15,11,21,41,5,5,2,3,3,2,2,0,0,12,46,4,17,"113,151m","107,511m",134,125,111,138,2.7%,8.7%,45.6%,54.4%,https://www.football-lab.jp/fctk/report/?year=2023&month=04&date=22
H,新潟,W,2,1,1.356,0.355,8,8,5,3,1,0,460,659,12,17,11,6,2,3,3,2,17,24,8,10,13,20,19,14,3,1,3,2,1,3,0,0,34,46,9,10,"123,621m","119,705m",140,131,112,111,7.1%,7.2%,41.5%,58.5%,https://www.football-lab.jp/fctk/report/?year=2023&month=04&date=29
A,福岡,L,0,1,0.07,1.529,2,15,0,4,0,0,571,333,9,10,13,13,1,1,2,3,35,27,7,12,20,29,13,22,2,2,1,1,2,2,0,0,35,32,6,13,"109,096m","106,531m",113,132,136,124,1.5%,12.1%,57.7%,42.3%,https://www.football-lab.jp/fctk/report/?year=2023&month=05&date=03
A,札幌,L,1,5,1.732,3.773,15,20,5,10,0,1,439,456,9,13,14,14,1,2,3,2,22,20,14,10,22,19,20,17,0,5,1,1,2,1,0,0,35,45,6,25,"113,007m","115,859m",121,144,127,128,11.8%,15.6%,48.9%,51.1%,https://www.football-lab.jp/fctk/report/?year=2023&month=05&date=06
H,川崎Ｆ,W,2,1,1.547,0.777,9,9,3,5,0,0,306,589,15,11,17,9,2,3,4,6,31,13,9,11,22,23,20,32,0,1,3,1,2,3,0,1,25,33,12,13,"115,419m","109,077m",137,134,113,110,8.0%,8.2%,35.4%,64.6%,https://www.football-lab.jp/fctk/report/?year=2023&month=05&date=12
A,鹿島,D,1,1,1.838,0.607,11,8,1,7,1,0,355,366,12,15,12,19,3,2,7,3,30,24,10,7,19,14,28,27,1,1,2,3,4,0,0,0,26,33,4,10,"110,431m","110,262m",132,148,118,117,9.3%,6.8%,50%,50%,https://www.football-lab.jp/fctk/report/?year=2023&month=05&date=20
A,神戸,L,2,3,2.107,1.387,12,11,2,6,2,0,342,352,11,19,11,10,2,1,4,10,28,25,7,15,15,16,14,22,1,0,1,2,1,2,0,0,21,32,9,17,"106,377m","106,955m",118,134,121,114,9.9%,9.6%,49.6%,50.4%,https://www.football-lab.jp/fctk/report/?year=2023&month=05&date=27
H,横浜FM,L,2,3,2.078,2.007,20,17,5,7,0,0,309,525,13,19,12,13,2,1,8,2,18,22,11,11,30,20,15,27,2,2,1,2,2,0,1,0,27,39,12,17,"111,936m","113,054m",147,118,115,112,17.4%,15.2%,39.6%,60.4%,https://www.football-lab.jp/fctk/report/?year=2023&month=06&date=03
A,Ｇ大阪,L,1,3,1.524,2.273,11,16,4,8,0,0,463,355,20,19,19,6,4,2,3,4,18,15,12,13,12,12,20,27,1,0,2,4,1,2,0,0,39,40,12,18,"104,468m","103,920m",103,117,115,101,9.6%,15.8%,52%,48%,https://www.football-lab.jp/fctk/report/?year=2023&month=06&date=11
H,名古屋,W,2,0,1.043,0.641,13,8,4,3,0,0,399,433,18,15,16,18,5,1,5,4,19,25,14,8,19,18,16,14,2,1,1,4,4,4,0,0,35,33,13,10,"116,790m","111,085m",156,120,123,130,10.6%,6.2%,47.4%,52.6%,https://www.football-lab.jp/fctk/report/?year=2023&month=06&date=24
H,柏,W,1,0,0.964,0.323,13,5,5,0,0,0,383,424,12,11,13,12,0,2,8,2,20,19,12,9,22,19,15,21,0,1,2,0,2,2,0,0,32,32,12,8,"110,187m","104,826m",105,108,123,122,10.6%,4.1%,46.4%,53.6%,https://www.football-lab.jp/fctk/report/?year=2023&month=07&date=01
A,浦和,D,0,0,0.734,0.741,8,11,2,3,0,0,394,593,14,15,10,10,2,3,4,5,18,16,9,10,27,23,20,15,1,2,3,2,1,1,0,0,25,53,11,14,"115,478m","111,059m",98,108,109,112,7.3%,9.8%,39.3%,60.7%,https://www.football-lab.jp/fctk/report/?year=2023&month=07&date=08
H,鹿島,L,1,3,0.516,1.231,7,12,1,7,0,0,461,304,11,19,14,13,2,1,4,7,27,16,11,10,14,19,17,29,2,0,1,2,1,1,0,1,34,26,5,13,"105,126m","105,856m",97,104,119,106,5.9%,11.3%,54.5%,45.5%,https://www.football-lab.jp/fctk/report/?year=2023&month=07&date=16
A,Ｃ大阪,W,1,0,1.169,1.606,9,17,4,7,0,0,302,537,6,36,11,10,3,3,2,5,20,29,6,22,16,13,38,14,2,2,3,3,3,1,0,0,22,52,6,24,"109,317m","108,208m",119,99,115,120,7.8%,14.2%,40.9%,59.1%,https://www.football-lab.jp/fctk/report/?year=2023&month=08&date=06
H,京都,W,2,0,1.444,1.331,15,12,7,4,0,0,324,401,13,13,16,10,4,3,3,2,23,26,9,8,14,19,16,15,1,1,3,4,1,1,0,0,31,28,11,10,"104,826m","105,202m",133,107,116,108,12.9%,11.1%,46.4%,53.6%,https://www.football-lab.jp/fctk/report/?year=2023&month=08&date=12
A,横浜FM,L,1,2,1.022,0.949,10,15,5,6,0,0,348,619,17,12,13,10,0,2,1,4,20,21,6,7,18,16,15,13,5,2,2,0,2,0,0,0,24,53,11,14,"113,673m","114,611m",117,78,102,105,9.8%,14.3%,40.4%,59.6%,https://www.football-lab.jp/fctk/report/?year=2023&month=08&date=19
H,神戸,D,2,2,2.083,2.46,19,16,4,4,1,1,390,341,11,20,10,14,4,1,6,4,22,30,15,14,21,22,29,23,2,4,1,4,3,1,0,0,40,30,15,12,"118,769m","117,071m",127,125,132,132,14.4%,12.1%,52.2%,47.8%,https://www.football-lab.jp/fctk/report/?year=2023&month=08&date=26
H,福岡,L,1,2,0.88,1.344,13,13,2,5,0,0,536,295,20,11,13,7,3,0,9,2,30,20,17,12,13,19,15,32,0,5,0,3,2,1,0,0,48,30,9,8,"109,354m","108,262m",89,114,126,99,10.3%,13.1%,60.9%,39.1%,https://www.football-lab.jp/fctk/report/?year=2023&month=09&date=03
A,川崎Ｆ,L,0,1,1.008,2.183,10,19,4,6,0,0,369,505,13,13,6,20,5,2,3,8,26,26,8,7,14,23,22,17,2,1,1,5,6,1,0,0,33,41,11,9,"103,892m","101,780m",92,75,98,109,10.2%,17.4%,45.3%,54.7%,https://www.football-lab.jp/fctk/report/?year=2023&month=09&date=15
H,鳥栖,W,3,2,2.417,2.448,18,10,5,2,0,1,480,481,31,20,15,8,2,3,1,3,24,23,17,5,22,13,20,31,1,0,3,2,1,0,0,0,37,36,13,19,"116,722m","117,417m",130,128,121,113,14.9%,8.8%,51.1%,48.9%,https://www.football-lab.jp/fctk/report/?year=2023&month=09&date=23
H,Ｇ大阪,W,3,0,2.117,0.79,19,10,8,2,0,0,406,426,17,8,12,9,2,3,2,2,17,12,9,12,19,12,12,16,1,1,3,2,2,2,0,0,36,33,17,15,"107,584m","104,553m",126,112,103,90,18.4%,11.1%,48%,52%,https://www.football-lab.jp/fctk/report/?year=2023&month=10&date=01
A,横浜FC,L,0,1,0.543,0.453,8,8,3,4,0,0,561,266,15,7,13,14,1,3,6,1,35,19,11,9,25,24,12,31,0,0,3,1,2,1,0,0,32,23,7,8,"105,795m","109,016m",106,127,131,117,6.1%,6.8%,64.7%,35.3%,https://www.football-lab.jp/fctk/report/?year=2023&month=10&date=21
H,広島,L,1,2,0.716,1.798,9,17,2,9,0,0,420,342,13,13,15,13,8,2,5,8,27,19,13,10,22,27,24,29,2,2,2,8,2,3,1,0,32,37,7,17,"116,021m","115,581m",177,192,139,127,6.5%,13.4%,53.7%,46.3%,https://www.football-lab.jp/fctk/report/?year=2023&month=10&date=28
A,新潟,D,0,0,0.174,1.284,6,16,2,5,0,0,392,594,12,15,8,11,1,2,3,7,26,28,14,11,22,20,19,23,1,2,2,1,2,2,0,0,32,32,8,16,"119,091m","116,730m",140,135,118,129,5.1%,12.4%,40.8%,59.2%,https://www.football-lab.jp/fctk/report/?year=2023&month=11&date=11
H,札幌,L,1,3,1.768,1.478,17,20,4,9,0,0,533,433,10,10,15,8,3,0,9,4,21,17,9,7,16,16,15,22,1,3,0,3,2,1,0,0,34,30,19,21,"118,039m","119,036m",149,166,133,117,12.8%,17.1%,52.8%,47.2%,https://www.football-lab.jp/fctk/report/?year=2023&month=11&date=25
A,湘南,W,1,0,1.029,0.665,14,10,2,2,0,0,441,420,11,18,21,8,2,1,4,7,21,28,12,2,23,27,26,21,2,3,1,2,2,1,0,0,32,36,7,14,"113,753m","115,152m",131,120,127,126,11.0%,7.9%,53%,47%,https://www.football-lab.jp/fctk/report/?year=2023&month=12&date=03
