HOME/AWAY,Opponent,勝敗,sapp_得点,sapp_失点,Opponent_ゴール期待値,sapp_ゴール期待値,Opponent_シュート,sapp_シュート,Opponent_枠内シュート,sapp_枠内シュート,Opponent_PKによるシュート,sapp_PKによるシュート,Opponent_パス,sapp_パス,Opponent_クロス,sapp_クロス,Opponent_直接ＦＫ,sapp_直接ＦＫ,Opponent_間接ＦＫ,sapp_間接ＦＫ,Opponent_ＣＫ,sapp_ＣＫ,Opponent_スローイン,sapp_スローイン,Opponent_ドリブル,sapp_ドリブル,Opponent_タックル,sapp_タックル,Opponent_クリア,sapp_クリア,Opponent_インターセプト,sapp_インターセプト,Opponent_オフサイド,sapp_オフサイド,Opponent_警告,sapp_警告,Opponent_退場,sapp_退場,Opponent_３０ｍライン進入,sapp_３０ｍライン進入,Opponent_ペナルティエリア進入,sapp_ペナルティエリア進入,Opponent_総移動距離,sapp_総移動距離,Opponent_スプリント,sapp_スプリント,Opponent_攻撃回数,sapp_攻撃回数,Opponent_チャンス構築率,sapp_チャンス構築率,Opponent_ボール保持率,sapp_ボール保持率,URL
A,広島,D,0,0,1.437,0.286,15,5,5,0,0,0,377,449,18,2,11,11,3,2,12,0,37,20,5,8,13,22,11,26,2,2,2,3,2,1,0,0,34,28,12,3,"108,726m","107,523m",154,113,149,121,10.1%,4.1%,46.3%,53.7%,https://www.football-lab.jp/sapp/report/?year=2023&month=02&date=18
H,神戸,L,1,3,2.659,1.683,19,13,9,5,0,1,308,529,13,13,16,8,4,0,3,2,17,38,9,10,14,16,34,15,4,2,0,4,0,1,0,0,21,30,15,14,"118,131m","111,468m",130,97,132,140,14.4%,9.3%,42.1%,57.9%,https://www.football-lab.jp/sapp/report/?year=2023&month=02&date=25
A,新潟,D,2,2,1.053,2.327,13,22,5,6,0,0,456,589,4,23,14,8,2,1,7,6,11,12,11,16,14,26,29,17,1,4,1,2,0,2,0,0,29,54,10,27,"121,244m","119,266m",137,128,123,120,10.6%,18.3%,44.3%,55.7%,https://www.football-lab.jp/sapp/report/?year=2023&month=03&date=04
H,横浜FM,W,2,0,0.615,1.303,6,17,2,6,0,0,597,341,18,13,16,12,3,2,3,7,28,23,6,11,9,10,16,29,0,2,2,3,0,1,0,0,32,34,11,10,"110,942m","112,552m",117,149,124,122,4.8%,13.9%,61.6%,38.4%,https://www.football-lab.jp/sapp/report/?year=2023&month=03&date=12
A,Ｇ大阪,D,2,2,1.05,1.192,12,9,4,4,0,0,498,493,18,16,20,11,1,1,3,6,21,24,12,9,17,25,20,17,2,1,1,1,1,1,0,0,40,35,12,9,"115,261m","113,057m",134,143,124,129,9.7%,7.0%,54.9%,45.1%,https://www.football-lab.jp/sapp/report/?year=2023&month=03&date=18
H,川崎Ｆ,L,3,4,1.545,2.234,14,22,5,6,0,0,382,486,7,17,8,12,2,2,2,6,22,26,7,15,8,19,34,20,0,5,2,2,3,1,0,0,21,37,8,17,"113,500m","114,799m",121,122,106,130,13.2%,16.9%,44.3%,55.7%,https://www.football-lab.jp/sapp/report/?year=2023&month=04&date=01
A,Ｃ大阪,W,3,2,1.755,0.954,13,11,4,6,1,0,447,330,12,9,21,10,5,1,5,5,32,18,13,15,13,22,21,33,0,1,1,5,2,1,0,0,36,31,11,11,"112,435m","114,611m",116,118,145,122,9.0%,9.0%,57.9%,42.1%,https://www.football-lab.jp/sapp/report/?year=2023&month=04&date=09
A,浦和,L,1,4,2.193,0.578,14,8,5,1,1,0,530,323,13,11,13,7,2,2,2,4,16,19,11,12,16,7,19,22,1,1,2,2,1,5,1,1,61,27,11,11,"112,367m","106,608m",108,107,102,98,13.7%,8.2%,62.7%,37.3%,https://www.football-lab.jp/sapp/report/?year=2023&month=04&date=15
H,福岡,D,2,2,2.116,1.058,11,11,3,2,1,0,305,464,12,20,6,16,2,1,4,5,24,19,11,25,17,19,24,16,1,0,1,2,2,1,0,0,19,45,11,13,"104,526m","106,925m",122,114,107,122,10.3%,9.0%,43.1%,56.9%,https://www.football-lab.jp/sapp/report/?year=2023&month=04&date=23
A,横浜FC,W,4,1,2.33,2.197,12,14,5,6,0,0,317,379,8,12,12,19,2,0,3,8,24,26,10,15,13,11,18,16,2,0,0,2,2,1,0,0,18,25,6,8,"110,068m","109,817m",126,139,125,135,9.6%,10.4%,49.5%,50.5%,https://www.football-lab.jp/sapp/report/?year=2023&month=04&date=29
H,鹿島,L,0,1,0.426,0.849,7,11,4,0,0,0,294,506,5,15,7,16,1,4,1,14,19,31,4,17,26,19,48,7,0,3,4,1,2,1,0,0,19,37,5,20,"106,689m","106,322m",107,95,107,132,6.5%,8.3%,38.4%,61.6%,https://www.football-lab.jp/sapp/report/?year=2023&month=05&date=03
H,FC東京,W,5,1,1.732,3.773,15,20,5,10,0,1,439,456,9,13,14,14,1,2,3,2,22,20,14,10,22,19,20,17,0,5,1,1,2,1,0,0,35,45,6,25,"113,007m","115,859m",121,144,127,128,11.8%,15.6%,48.9%,51.1%,https://www.football-lab.jp/sapp/report/?year=2023&month=05&date=06
A,湘南,W,4,2,1.397,1.307,8,14,3,6,1,0,419,444,10,10,4,18,4,1,4,3,25,23,9,14,21,19,16,12,0,2,1,4,1,1,0,0,27,39,11,12,"115,537m","113,154m",155,135,127,134,6.3%,10.4%,48.1%,51.9%,https://www.football-lab.jp/sapp/report/?year=2023&month=05&date=13
H,京都,W,2,1,1.635,2.238,11,11,2,3,0,1,355,402,8,15,9,16,2,1,4,3,27,20,13,12,18,20,18,17,0,0,1,2,1,1,0,0,23,33,10,18,"116,268m","113,265m",153,129,118,119,9.3%,9.2%,47.4%,52.6%,https://www.football-lab.jp/sapp/report/?year=2023&month=05&date=19
H,名古屋,L,1,2,0.345,1.59,4,16,2,5,0,0,231,607,9,11,14,18,2,0,2,7,23,16,13,21,20,21,20,13,3,0,0,2,4,2,0,0,16,52,6,18,"111,686m","106,242m",119,85,129,128,3.1%,12.5%,30.7%,69.3%,https://www.football-lab.jp/sapp/report/?year=2023&month=05&date=27
A,柏,W,5,4,1.132,2.144,12,24,7,12,0,0,394,569,11,12,9,11,6,0,4,4,16,12,9,14,14,16,16,24,0,1,0,6,2,1,0,0,32,50,13,24,"118,816m","119,676m",138,134,112,114,10.7%,21.1%,42.5%,57.5%,https://www.football-lab.jp/sapp/report/?year=2023&month=06&date=03
A,鳥栖,D,1,1,0.523,1.918,6,19,0,5,0,0,430,474,13,15,8,13,2,3,6,6,33,21,6,18,16,14,24,14,0,2,2,2,2,0,0,0,25,47,7,27,"123,198m","116,239m",152,130,132,127,4.5%,15.0%,47.8%,52.2%,https://www.football-lab.jp/sapp/report/?year=2023&month=06&date=10
H,Ｃ大阪,L,1,4,0.947,1.508,9,17,6,2,0,0,263,529,12,24,16,13,3,3,4,10,19,25,14,26,19,14,47,14,2,0,3,2,1,1,0,0,17,46,9,18,"112,843m","108,384m",110,79,121,131,7.4%,13.0%,39%,61%,https://www.football-lab.jp/sapp/report/?year=2023&month=06&date=24
A,神戸,D,1,1,1.579,2.037,14,21,3,7,0,0,397,471,16,17,15,5,2,0,2,4,30,25,12,23,21,17,28,22,0,1,0,2,1,0,0,0,33,38,14,21,"115,786m","111,923m",129,121,140,133,10.0%,15.8%,48.4%,51.6%,https://www.football-lab.jp/sapp/report/?year=2023&month=07&date=01
A,福岡,L,1,2,0.647,2.437,5,15,3,3,0,1,297,468,10,15,14,16,1,1,1,9,21,23,4,13,12,16,26,15,2,1,2,1,2,0,0,0,26,44,6,17,"104,117m","103,900m",117,88,107,123,4.7%,12.2%,43.1%,56.9%,https://www.football-lab.jp/sapp/report/?year=2023&month=07&date=08
H,新潟,L,0,1,0.614,0.685,5,14,2,3,0,0,342,641,8,30,15,14,3,1,2,3,15,18,8,25,22,20,31,13,1,3,1,3,2,4,1,0,20,87,5,31,"115,141m","112,932m",113,112,127,124,3.9%,11.3%,41.5%,58.5%,https://www.football-lab.jp/sapp/report/?year=2023&month=07&date=15
A,鹿島,L,0,3,1.431,1.517,18,17,5,3,0,0,314,478,12,14,8,8,0,0,9,9,20,19,10,17,15,10,24,12,3,1,0,0,2,1,0,0,40,44,14,21,"111,972m","107,090m",147,107,117,109,15.4%,15.6%,44.8%,55.2%,https://www.football-lab.jp/sapp/report/?year=2023&month=08&date=06
H,鳥栖,D,1,1,0.745,1.219,6,17,1,5,0,0,501,540,7,25,10,14,4,1,1,1,21,25,8,13,13,19,20,11,1,3,1,4,2,2,0,0,23,52,6,27,"119,417m","114,673m",120,147,124,127,4.8%,13.4%,51.1%,48.9%,https://www.football-lab.jp/sapp/report/?year=2023&month=08&date=12
A,京都,L,0,3,1.931,1.733,14,15,4,2,1,1,244,495,13,14,11,14,3,3,7,4,14,23,9,13,18,22,43,25,0,2,3,3,1,3,0,0,28,45,13,16,"109,711m","104,370m",106,88,108,114,13.0%,13.2%,39.1%,60.9%,https://www.football-lab.jp/sapp/report/?year=2023&month=08&date=19
A,川崎Ｆ,D,2,2,1.602,1.388,14,13,2,5,0,0,621,392,19,10,15,13,0,4,4,1,18,19,10,12,26,17,14,24,3,2,4,0,2,2,0,1,49,39,17,9,"109,304m","105,544m",77,68,113,112,12.4%,11.6%,58.7%,41.3%,https://www.football-lab.jp/sapp/report/?year=2023&month=08&date=26
H,Ｇ大阪,W,4,0,0.464,2.453,6,23,1,9,0,0,438,432,9,19,11,15,3,0,2,8,24,19,8,13,9,15,26,21,1,2,0,3,3,2,0,0,24,45,5,17,"108,802m","111,360m",125,137,111,118,5.4%,19.5%,50.8%,49.2%,https://www.football-lab.jp/sapp/report/?year=2023&month=09&date=02
H,湘南,L,0,1,1.507,2.326,8,22,4,6,0,0,271,525,6,19,13,10,2,0,4,9,20,22,9,15,21,29,43,15,3,0,0,2,2,3,0,0,22,54,12,25,"114,759m","108,501m",130,136,123,127,6.5%,17.3%,41.8%,58.2%,https://www.football-lab.jp/sapp/report/?year=2023&month=09&date=16
A,名古屋,D,1,1,0.404,1.273,5,11,1,5,0,0,390,627,11,15,13,7,3,2,2,9,19,16,12,13,19,17,20,14,2,2,2,3,1,4,0,0,28,68,3,16,"112,742m","111,086m",148,137,96,101,5.2%,10.9%,42.2%,57.8%,https://www.football-lab.jp/sapp/report/?year=2023&month=09&date=23
H,柏,L,1,2,1.315,1.273,15,20,6,5,0,0,226,607,5,10,9,11,3,1,2,7,13,18,8,10,18,10,30,14,2,1,1,3,2,1,0,0,27,56,9,12,"109,548m","108,146m",116,123,95,114,15.8%,17.5%,32.6%,67.4%,https://www.football-lab.jp/sapp/report/?year=2023&month=09&date=30
A,横浜FM,L,1,4,1.326,1.557,15,18,8,3,0,0,504,568,14,17,9,12,4,1,2,3,13,27,12,18,20,13,22,11,2,2,1,3,1,2,0,0,25,58,16,23,"123,692m","116,999m",134,141,115,124,13.0%,14.5%,49.9%,50.1%,https://www.football-lab.jp/sapp/report/?year=2023&month=10&date=21
H,横浜FC,W,2,1,1.8,1.629,15,22,7,11,0,0,386,593,27,13,11,13,3,1,5,1,23,12,16,14,14,21,17,35,0,1,1,3,0,2,0,0,33,36,16,17,"116,079m","115,939m",142,136,131,119,11.5%,18.5%,45.3%,54.7%,https://www.football-lab.jp/sapp/report/?year=2023&month=10&date=28
H,広島,D,0,0,0.397,1.361,9,19,1,7,0,0,421,521,16,12,10,14,1,2,2,4,19,28,15,17,21,20,18,20,5,3,2,1,2,2,0,0,46,39,9,15,"110,768m","112,891m",132,138,127,136,7.1%,14.0%,47.8%,52.2%,https://www.football-lab.jp/sapp/report/?year=2023&month=11&date=11
A,FC東京,W,3,1,1.768,1.478,17,20,4,9,0,0,533,433,10,10,15,8,3,0,9,4,21,17,9,7,16,16,15,22,1,3,0,3,2,1,0,0,34,30,19,21,"118,039m","119,036m",149,166,133,117,12.8%,17.1%,52.8%,47.2%,https://www.football-lab.jp/sapp/report/?year=2023&month=11&date=25
H,浦和,L,0,2,1.5,0.715,11,11,2,3,1,0,313,667,6,12,12,7,3,2,1,6,13,16,8,10,16,16,26,10,3,3,2,3,1,2,0,0,22,72,7,16,"113,614m","114,179m",116,107,114,120,9.6%,9.2%,38.4%,61.6%,https://www.football-lab.jp/sapp/report/?year=2023&month=12&date=03
