HOME/AWAY,Opponent,勝敗,kyot_得点,kyot_失点,Opponent_ゴール期待値,kyot_ゴール期待値,Opponent_シュート,kyot_シュート,Opponent_枠内シュート,kyot_枠内シュート,Opponent_PKによるシュート,kyot_PKによるシュート,Opponent_パス,kyot_パス,Opponent_クロス,kyot_クロス,Opponent_直接ＦＫ,kyot_直接ＦＫ,Opponent_間接ＦＫ,kyot_間接ＦＫ,Opponent_ＣＫ,kyot_ＣＫ,Opponent_スローイン,kyot_スローイン,Opponent_ドリブル,kyot_ドリブル,Opponent_タックル,kyot_タックル,Opponent_クリア,kyot_クリア,Opponent_インターセプト,kyot_インターセプト,Opponent_オフサイド,kyot_オフサイド,Opponent_警告,kyot_警告,Opponent_退場,kyot_退場,Opponent_３０ｍライン進入,kyot_３０ｍライン進入,Opponent_ペナルティエリア進入,kyot_ペナルティエリア進入,Opponent_総移動距離,kyot_総移動距離,Opponent_スプリント,kyot_スプリント,Opponent_攻撃回数,kyot_攻撃回数,Opponent_チャンス構築率,kyot_チャンス構築率,Opponent_ボール保持率,kyot_ボール保持率,URL
A,柏,D,1,1,1.671,1.353,10,12,3,5,1,0,301,279,11,14,12,15,5,1,5,5,31,31,9,6,19,22,12,27,1,2,1,5,3,0,0,0,15,21,9,4,"104,804m","107,479m",134,172,131,128,7.6%,9.4%,53.1%,46.9%,https://www.football-lab.jp/kyot/report/?year=2024&month=02&date=25
H,湘南,L,1,2,1.524,1.201,13,15,5,6,0,0,397,406,13,16,11,12,0,0,8,7,20,22,10,15,32,30,30,29,2,3,0,0,1,1,0,0,35,36,16,12,"110,416m","113,250m",129,130,130,135,10.0%,11.1%,47.2%,52.8%,https://www.football-lab.jp/kyot/report/?year=2024&month=03&date=02
A,川崎Ｆ,W,1,0,1.254,0.952,10,8,3,4,0,0,594,320,24,12,12,9,0,5,7,2,27,26,14,5,26,26,17,35,0,2,5,0,2,2,0,0,51,26,14,10,"117,129m","118,300m",133,146,129,122,7.8%,6.6%,59.3%,40.7%,https://www.football-lab.jp/kyot/report/?year=2024&month=03&date=09
H,横浜FM,L,2,3,2.096,2.221,17,18,6,5,0,0,450,285,19,25,12,7,0,4,8,8,23,17,12,12,17,19,31,18,0,1,4,0,1,1,1,1,45,32,13,14,"110,284m","106,794m",128,177,110,101,15.5%,17.8%,55.1%,44.9%,https://www.football-lab.jp/kyot/report/?year=2024&month=03&date=17
A,東京Ｖ,D,2,2,1.687,0.697,13,12,5,4,1,0,465,274,16,19,12,12,3,1,6,9,21,21,8,12,17,8,27,23,0,4,1,3,2,3,0,0,32,28,10,9,"112,996m","114,160m",107,141,105,110,12.4%,10.9%,58.4%,41.6%,https://www.football-lab.jp/kyot/report/?year=2024&month=03&date=29
A,Ｇ大阪,D,0,0,2.286,0.719,23,14,2,4,0,0,389,391,12,19,14,15,2,3,6,6,22,26,14,13,17,23,26,29,1,3,3,2,0,1,0,0,34,36,16,12,"109,322m","110,377m",108,124,126,133,18.3%,10.5%,52.6%,47.4%,https://www.football-lab.jp/kyot/report/?year=2024&month=04&date=03
H,磐田,L,0,3,1.806,1.419,16,19,6,4,1,0,272,321,17,20,11,12,1,2,14,9,24,13,12,19,12,12,43,41,0,1,1,1,0,2,0,0,24,36,9,14,"109,496m","106,329m",107,117,117,102,13.7%,18.6%,46.6%,53.4%,https://www.football-lab.jp/kyot/report/?year=2024&month=04&date=07
A,鹿島,L,0,1,2.003,0.51,17,8,4,0,0,0,408,291,28,11,12,7,4,2,7,4,17,23,21,6,15,14,20,34,3,2,2,4,0,0,0,0,41,24,24,7,"108,319m","110,568m",153,163,115,116,14.8%,6.9%,57.4%,42.6%,https://www.football-lab.jp/kyot/report/?year=2024&month=04&date=13
H,新潟,L,0,1,1.442,0.961,11,13,3,2,0,0,414,362,14,9,17,16,1,3,7,8,20,23,10,11,20,35,25,17,4,1,3,1,1,0,0,0,27,38,12,4,"108,988m","110,751m",94,145,119,122,9.2%,10.7%,53.4%,46.6%,https://www.football-lab.jp/kyot/report/?year=2024&month=04&date=20
A,神戸,W,1,0,4.39,0.817,34,7,5,3,1,0,401,217,41,10,10,4,1,2,13,6,32,12,18,8,10,13,12,57,2,0,2,1,0,2,0,0,39,21,26,3,"108,303m","108,046m",118,124,133,103,25.6%,6.8%,55.7%,44.3%,https://www.football-lab.jp/kyot/report/?year=2024&month=04&date=27
A,FC東京,L,1,2,1.135,1.969,13,20,4,4,0,0,308,416,12,18,13,11,3,3,7,9,19,22,14,8,16,17,30,20,1,2,2,3,2,3,0,0,24,37,12,14,"115,478m","114,829m",142,161,116,107,11.2%,18.7%,41.6%,58.4%,https://www.football-lab.jp/kyot/report/?year=2024&month=05&date=03
H,町田,L,0,3,1.819,0.288,17,8,7,3,0,0,348,399,17,2,16,8,2,4,8,1,25,17,13,18,29,18,18,31,2,1,4,2,2,3,0,0,40,28,15,5,"119,667m","116,012m",155,139,130,111,13.1%,7.2%,45.6%,54.4%,https://www.football-lab.jp/kyot/report/?year=2024&month=05&date=06
H,福岡,L,2,3,1.659,1.622,10,14,6,2,0,0,242,376,7,25,14,20,0,2,1,11,19,21,8,15,14,14,26,14,0,1,2,0,4,0,0,0,9,26,8,7,"105,141m","106,723m",104,127,117,131,8.5%,10.7%,41.8%,58.2%,https://www.football-lab.jp/kyot/report/?year=2024&month=05&date=11
A,浦和,L,0,3,2.543,0.815,19,11,10,1,1,0,550,355,15,11,20,5,0,2,9,6,25,18,12,8,13,13,17,27,3,3,2,0,1,3,0,1,41,27,20,10,"111,079m","115,544m",129,187,126,110,15.1%,10.0%,58%,42%,https://www.football-lab.jp/kyot/report/?year=2024&month=05&date=15
H,広島,L,0,5,1.301,0.284,17,6,7,1,0,0,327,413,11,4,12,20,3,3,2,2,22,24,9,10,19,18,22,23,4,3,3,3,1,3,0,0,32,23,14,4,"117,915m","116,001m",148,159,130,140,13.1%,4.3%,42.5%,57.5%,https://www.football-lab.jp/kyot/report/?year=2024&month=05&date=19
A,名古屋,D,1,1,1.042,0.723,9,9,2,3,0,0,497,254,20,9,15,10,0,2,4,2,32,24,14,9,13,12,24,42,1,4,2,0,3,2,0,0,30,23,13,5,"115,872m","119,707m",135,166,134,123,6.7%,7.3%,60.1%,39.9%,https://www.football-lab.jp/kyot/report/?year=2024&month=05&date=26
H,Ｃ大阪,D,1,1,0.694,1.749,8,15,2,5,0,0,441,269,11,12,11,11,0,2,5,5,24,19,10,8,14,10,23,19,0,1,2,0,2,0,0,0,48,24,11,9,"111,992m","119,511m",108,147,117,107,6.8%,14.0%,59.9%,40.1%,https://www.football-lab.jp/kyot/report/?year=2024&month=06&date=01
H,札幌,W,2,0,1.891,1.441,17,12,3,5,0,0,549,244,19,13,11,13,2,1,6,3,25,22,25,7,14,25,17,43,1,3,1,2,2,1,0,0,44,14,17,8,"115,077m","118,107m",114,128,130,129,13.1%,9.3%,59%,41%,https://www.football-lab.jp/kyot/report/?year=2024&month=06&date=15
A,鳥栖,L,0,3,1.706,1.472,16,16,8,8,0,0,260,415,5,23,8,13,1,2,5,8,18,28,9,8,12,11,41,12,1,1,2,1,0,1,0,0,21,43,10,14,"116,183m","110,887m",121,134,122,127,13.1%,12.6%,42.7%,57.3%,https://www.football-lab.jp/kyot/report/?year=2024&month=06&date=22
H,柏,D,2,2,1.482,0.757,21,9,5,4,0,0,423,330,22,18,12,8,1,1,4,4,35,22,18,6,16,20,19,39,0,1,1,1,1,1,0,0,40,30,22,3,"107,540m","111,472m",122,108,126,118,16.7%,7.6%,52.9%,47.1%,https://www.football-lab.jp/kyot/report/?year=2024&month=06&date=26
A,湘南,W,1,0,1.78,1.033,12,10,1,2,1,0,470,221,17,10,13,12,2,2,5,3,34,29,10,8,19,15,19,29,2,2,2,2,0,3,0,0,34,14,18,9,"107,475m","108,495m",145,140,129,121,9.3%,8.3%,61.9%,38.1%,https://www.football-lab.jp/kyot/report/?year=2024&month=06&date=30
A,福岡,W,2,1,1.307,1.429,13,13,2,5,0,0,411,341,26,16,8,9,1,5,5,5,26,30,13,11,19,14,25,35,2,2,4,2,2,1,0,0,33,39,15,18,"115,515m","116,881m",120,99,130,136,10.0%,9.6%,52.4%,47.6%,https://www.football-lab.jp/kyot/report/?year=2024&month=07&date=07
H,浦和,D,0,0,0.775,1.638,8,14,2,2,0,0,475,297,13,17,5,13,0,4,6,5,23,15,18,10,18,18,21,28,3,2,4,0,1,0,0,0,44,33,16,14,"111,356m","117,620m",123,119,112,114,7.1%,12.3%,60.8%,39.2%,https://www.football-lab.jp/kyot/report/?year=2024&month=07&date=14
A,磐田,W,2,1,1.104,0.853,11,11,1,2,0,0,359,387,16,20,18,10,2,2,1,3,18,25,7,16,11,13,25,19,1,1,2,2,1,2,0,0,21,36,11,15,"101,342m","104,496m",57,85,109,112,10.1%,9.8%,48.6%,51.4%,https://www.football-lab.jp/kyot/report/?year=2024&month=07&date=20
H,名古屋,W,3,2,1.123,1.748,10,16,5,6,0,0,268,340,8,16,20,8,0,2,2,9,28,30,8,15,11,12,25,19,0,2,2,0,1,0,1,0,18,38,9,11,"108,916m","113,191m",126,124,109,119,9.2%,13.4%,42.1%,57.9%,https://www.football-lab.jp/kyot/report/?year=2024&month=08&date=07
A,新潟,L,0,2,1.665,1.287,12,17,4,2,1,0,371,419,8,19,9,13,0,4,3,7,22,16,9,15,17,12,35,19,1,1,3,0,0,1,0,0,23,30,6,21,"107,256m","109,043m",101,99,114,115,10.5%,14.8%,46.1%,53.9%,https://www.football-lab.jp/kyot/report/?year=2024&month=08&date=12
A,Ｃ大阪,W,5,3,3.075,2.977,20,24,6,10,1,0,638,232,21,16,15,5,3,2,11,5,20,11,16,12,12,14,17,49,2,8,2,3,0,1,0,0,49,29,20,20,"112,282m","116,499m",124,121,123,103,16.3%,23.3%,65.5%,34.5%,https://www.football-lab.jp/kyot/report/?year=2024&month=08&date=17
H,FC東京,W,3,0,0.964,1.436,9,20,2,11,0,0,464,251,9,19,15,10,0,1,6,8,24,30,8,13,10,15,29,30,0,0,1,0,0,4,0,0,27,23,11,22,"104,047m","108,171m",102,126,119,115,7.6%,17.4%,60.4%,39.6%,https://www.football-lab.jp/kyot/report/?year=2024&month=08&date=24
A,横浜FM,W,2,1,1.14,2.096,10,23,2,7,0,0,414,299,13,29,18,4,6,4,4,14,18,21,16,14,10,10,34,23,0,2,4,5,2,2,1,0,25,44,12,20,"106,927m","115,117m",102,171,109,106,9.2%,21.7%,51.3%,48.7%,https://www.football-lab.jp/kyot/report/?year=2024&month=09&date=13
H,Ｇ大阪,D,2,2,3.043,1.518,21,15,8,5,0,0,454,275,25,21,14,6,1,2,9,4,19,16,14,12,22,18,18,33,2,0,2,1,1,3,0,0,39,30,18,8,"115,533m","115,834m",160,159,117,100,17.9%,15.0%,59.7%,40.3%,https://www.football-lab.jp/kyot/report/?year=2024&month=09&date=22
A,札幌,L,0,2,1.812,1.42,18,15,6,1,0,0,363,374,18,16,16,10,4,3,5,4,19,23,19,9,15,15,32,24,1,2,3,4,1,0,0,0,36,37,15,17,"116,175m","114,082m",131,138,135,131,13.3%,11.5%,50.2%,49.8%,https://www.football-lab.jp/kyot/report/?year=2024&month=09&date=28
H,神戸,L,2,3,1.595,0.605,16,11,6,4,0,0,299,374,18,22,14,9,1,4,4,5,15,29,8,11,21,18,23,17,2,2,4,1,1,1,0,0,35,37,11,9,"111,625m","111,699m",114,121,120,127,13.3%,8.7%,46.1%,53.9%,https://www.football-lab.jp/kyot/report/?year=2024&month=10&date=06
H,鳥栖,W,2,0,0.854,1.1,11,14,3,6,0,0,433,223,19,16,12,10,0,4,9,5,29,16,11,14,17,7,19,29,0,2,4,0,1,2,1,1,34,27,14,11,"104,894m","101,867m",99,129,113,107,9.7%,13.1%,60%,40%,https://www.football-lab.jp/kyot/report/?year=2024&month=10&date=19
A,広島,W,1,0,1.988,1.295,19,13,6,7,0,0,430,258,27,16,14,10,1,1,7,4,35,20,9,9,16,19,26,35,0,0,1,1,2,2,0,0,43,27,20,13,"108,441m","112,370m",122,143,125,116,15.2%,11.2%,56.3%,43.7%,https://www.football-lab.jp/kyot/report/?year=2024&month=11&date=03
H,川崎Ｆ,D,1,1,1.409,2.786,12,17,2,8,0,1,472,272,18,18,14,13,1,3,8,3,23,9,18,11,14,25,24,36,4,2,3,1,1,2,0,0,35,33,18,9,"107,171m","113,144m",146,139,135,109,8.9%,15.6%,57.7%,42.3%,https://www.football-lab.jp/kyot/report/?year=2024&month=11&date=09
H,鹿島,D,0,0,1.487,1.316,18,16,5,4,0,0,364,328,22,13,13,12,3,7,8,2,15,17,14,10,16,12,21,34,0,1,6,3,0,1,0,0,39,34,15,14,"106,228m","108,023m",135,136,127,120,14.2%,13.3%,52%,48%,https://www.football-lab.jp/kyot/report/?year=2024&month=11&date=17
A,町田,L,0,1,1.854,0.654,19,10,4,1,0,0,318,308,15,17,13,10,0,5,7,5,19,18,16,15,14,12,24,31,0,0,5,0,1,2,0,0,38,37,16,11,"117,667m","116,299m",142,132,111,105,17.1%,9.5%,48.2%,51.8%,https://www.football-lab.jp/kyot/report/?year=2024&month=11&date=30
H,東京Ｖ,D,0,0,1.025,0.701,13,14,4,3,0,0,457,477,23,19,13,13,0,1,6,5,12,19,13,13,17,10,35,16,1,1,1,0,2,1,0,0,34,39,17,13,"118,876m","116,695m",145,133,122,127,10.7%,11.0%,50.4%,49.6%,https://www.football-lab.jp/kyot/report/?year=2024&month=12&date=08
