HOME/AWAY,Opponent,勝敗,mcd_得点,mcd_失点,mcd_ゴール期待値,Opponent_ゴール期待値,mcd_シュート,Opponent_シュート,mcd_枠内シュート,Opponent_枠内シュート,mcd_PKによるシュート,Opponent_PKによるシュート,mcd_パス,Opponent_パス,mcd_クロス,Opponent_クロス,mcd_直接ＦＫ,Opponent_直接ＦＫ,mcd_間接ＦＫ,Opponent_間接ＦＫ,mcd_ＣＫ,Opponent_ＣＫ,mcd_スローイン,Opponent_スローイン,mcd_ドリブル,Opponent_ドリブル,mcd_タックル,Opponent_タックル,mcd_クリア,Opponent_クリア,mcd_インターセプト,Opponent_インターセプト,mcd_オフサイド,Opponent_オフサイド,mcd_警告,Opponent_警告,mcd_退場,Opponent_退場,mcd_３０ｍライン進入,Opponent_３０ｍライン進入,mcd_ペナルティエリア進入,Opponent_ペナルティエリア進入,mcd_総移動距離,Opponent_総移動距離,mcd_スプリント,Opponent_スプリント,mcd_攻撃回数,Opponent_攻撃回数,mcd_チャンス構築率,Opponent_チャンス構築率,mcd_ボール保持率,Opponent_ボール保持率,URL
H,広島,L,1,2,0.622,0.977,8,14,1,5,0,0,241,410,10,16,10,21,1,2,3,7,19,35,5,10,13,14,33,19,1,1,2,1,2,1,0,0,23,31,6,8,"112,578m","107,948m",131,125,104,119,7.7%,11.8%,44.1%,55.9%,https://www.football-lab.jp/mcd/report/?year=2025&month=02&date=16
A,FC東京,W,1,0,1.085,0.937,8,9,1,1,0,0,463,506,20,10,12,11,3,1,4,5,21,22,16,10,15,19,14,26,1,1,1,3,3,2,0,0,44,25,11,4,"126,059m","126,598m",146,157,122,123,6.6%,7.3%,48.7%,51.3%,https://www.football-lab.jp/mcd/report/?year=2025&month=02&date=22
H,東京Ｖ,L,0,1,0.751,0.801,10,6,3,4,0,0,424,404,11,9,14,9,3,3,5,1,31,32,6,6,15,13,14,31,1,3,3,3,3,2,0,0,23,22,8,5,"122,041m","122,170m",110,149,141,126,7.1%,4.8%,49.4%,50.6%,https://www.football-lab.jp/mcd/report/?year=2025&month=02&date=26
A,名古屋,W,2,1,0.814,0.69,7,5,3,2,0,0,388,368,18,8,13,16,0,0,2,3,27,22,9,3,2,8,23,23,1,0,0,0,2,0,0,0,35,14,6,5,"109,934m","110,723m",101,107,110,106,6.4%,4.7%,50.8%,49.2%,https://www.football-lab.jp/mcd/report/?year=2025&month=03&date=02
A,横浜FC,W,2,0,1.057,0.428,11,5,4,0,0,0,419,489,8,13,8,10,0,1,4,1,27,30,8,6,21,16,15,27,1,4,1,0,2,1,0,0,32,22,8,5,"120,917m","118,310m",125,125,133,135,8.3%,3.7%,48.4%,51.6%,https://www.football-lab.jp/mcd/report/?year=2025&month=03&date=08
H,新潟,W,1,0,1.587,0.294,13,5,4,1,0,0,434,561,23,8,7,10,1,2,6,2,17,21,15,7,19,22,15,18,5,0,2,1,1,0,0,0,49,27,13,7,"119,561m","122,499m",121,116,118,121,11.0%,4.1%,45.6%,54.4%,https://www.football-lab.jp/mcd/report/?year=2025&month=03&date=15
A,福岡,D,2,2,1.282,1.2,12,13,4,4,0,0,480,315,11,12,15,14,1,2,4,5,29,18,7,6,16,16,18,32,2,0,2,1,1,1,0,0,38,31,12,7,"114,227m","113,545m",111,106,124,112,9.7%,11.6%,57.7%,42.3%,https://www.football-lab.jp/mcd/report/?year=2025&month=03&date=29
A,Ｇ大阪,W,1,0,1.156,0.676,11,9,2,1,0,0,350,598,11,16,18,9,0,2,7,3,15,23,9,11,22,19,29,21,2,1,2,0,1,0,0,0,28,51,12,11,"119,665m","114,436m",118,102,129,129,8.5%,7.0%,40%,60%,https://www.football-lab.jp/mcd/report/?year=2025&month=04&date=02
H,川崎Ｆ,D,2,2,1.163,2.129,9,17,2,6,0,0,395,435,19,17,7,12,2,2,4,6,17,27,8,13,11,16,29,20,0,1,2,2,2,0,0,0,32,36,9,17,"115,449m","113,046m",114,110,112,123,8.0%,13.8%,50%,50%,https://www.football-lab.jp/mcd/report/?year=2025&month=04&date=06
H,浦和,L,0,2,0.993,0.723,15,10,2,5,0,0,518,415,20,4,6,8,1,3,2,5,29,15,14,7,4,9,11,29,2,1,3,1,2,0,0,0,43,24,10,10,"118,265m","122,138m",130,174,104,101,14.4%,9.9%,53.4%,46.6%,https://www.football-lab.jp/mcd/report/?year=2025&month=04&date=13
A,神戸,L,0,1,1.8,0.97,14,9,1,3,0,0,259,480,9,21,7,16,3,4,3,5,20,24,12,6,17,14,36,26,0,0,2,3,2,0,0,0,24,36,7,12,"110,756m","114,255m",104,119,109,118,12.8%,7.6%,39.3%,60.7%,https://www.football-lab.jp/mcd/report/?year=2025&month=04&date=20
H,湘南,L,0,1,0.915,0.985,10,10,4,2,0,0,326,494,18,10,7,9,4,1,4,1,27,22,10,7,18,18,14,30,2,2,1,4,2,1,0,0,41,36,16,14,"118,444m","119,934m",122,163,129,129,7.8%,7.8%,40.6%,59.4%,https://www.football-lab.jp/mcd/report/?year=2025&month=04&date=25
A,Ｃ大阪,W,2,1,1.939,0.49,17,5,5,1,0,0,340,619,17,15,7,14,2,3,5,2,19,21,9,9,20,15,24,15,3,2,3,2,3,1,0,0,39,54,16,9,"120,506m","123,864m",181,153,118,126,14.4%,4.0%,38.7%,61.3%,https://www.football-lab.jp/mcd/report/?year=2025&month=04&date=29
A,鹿島,L,0,1,0.623,1.271,10,11,4,3,0,0,302,419,16,9,11,8,1,1,2,5,29,26,16,8,14,21,16,27,0,1,1,1,0,2,0,0,31,27,9,7,"107,268m","106,952m",98,117,116,120,8.6%,9.2%,42.4%,57.6%,https://www.football-lab.jp/mcd/report/?year=2025&month=05&date=03
H,京都,L,1,2,1.456,0.618,15,11,4,3,0,0,369,397,13,10,13,10,3,0,1,3,26,25,8,11,18,13,12,29,2,2,0,3,1,2,0,0,39,21,14,7,"121,971m","125,842m",126,161,118,123,12.7%,8.9%,47.1%,52.9%,https://www.football-lab.jp/mcd/report/?year=2025&month=05&date=07
A,清水,D,2,2,0.777,2.195,10,14,4,4,0,1,364,558,18,14,8,16,2,0,3,2,17,27,6,15,28,14,21,17,2,1,0,2,0,0,0,0,32,31,12,14,"118,311m","115,356m",116,117,110,128,9.1%,10.9%,41.1%,58.9%,https://www.football-lab.jp/mcd/report/?year=2025&month=05&date=11
H,柏,W,3,0,2.461,0.879,10,8,3,3,1,0,343,613,17,14,4,6,1,0,2,7,35,28,8,7,19,16,32,30,3,3,0,1,1,0,0,0,33,43,11,9,"121,353m","116,143m",125,119,136,138,7.4%,5.8%,39.4%,60.6%,https://www.football-lab.jp/mcd/report/?year=2025&month=05&date=17
A,岡山,D,2,2,1.457,1.085,13,10,3,4,0,0,418,311,20,13,8,11,1,5,4,2,36,22,15,3,12,12,13,39,1,1,4,1,0,0,0,0,37,15,17,8,"118,447m","121,027m",142,109,134,122,9.7%,8.2%,55.4%,44.6%,https://www.football-lab.jp/mcd/report/?year=2025&month=05&date=25
H,横浜FM,L,0,3,1.571,0.427,16,6,7,3,0,0,425,324,26,4,8,11,3,4,5,1,29,21,17,6,13,16,7,27,0,0,4,3,0,1,0,0,46,30,19,7,"116,545m","118,019m",127,119,128,127,12.5%,4.7%,49.9%,50.1%,https://www.football-lab.jp/mcd/report/?year=2025&month=05&date=31
A,湘南,W,2,1,1.691,0.83,14,10,5,3,0,0,453,461,19,14,7,14,4,1,10,3,17,18,15,12,15,20,12,28,2,0,1,4,1,0,0,0,40,27,13,7,"115,231m","113,883m",117,129,110,108,12.7%,9.3%,51%,49%,https://www.football-lab.jp/mcd/report/?year=2025&month=06&date=14
H,鹿島,W,2,1,0.922,1.418,12,9,6,3,0,1,288,546,11,12,13,19,1,4,3,4,21,33,11,8,30,19,33,32,1,3,3,1,1,0,0,0,34,30,9,16,"113,318m","111,234m",98,92,116,131,10.3%,6.9%,42.3%,57.7%,https://www.football-lab.jp/mcd/report/?year=2025&month=06&date=21
A,新潟,W,4,0,3.074,1.356,25,22,7,1,0,0,333,550,17,9,4,6,1,2,9,6,11,18,13,8,17,10,19,20,1,1,2,1,1,0,0,0,39,39,16,21,"115,699m","114,161m",115,98,94,95,26.6%,23.2%,40.6%,59.4%,https://www.football-lab.jp/mcd/report/?year=2025&month=06&date=29
H,清水,W,3,0,2.445,1.478,16,13,6,2,1,0,309,528,12,13,5,14,2,3,2,1,17,20,17,16,16,12,15,22,2,2,3,2,1,0,0,0,33,36,12,9,"116,671m","110,010m",115,106,106,114,15.1%,11.4%,39.9%,60.1%,https://www.football-lab.jp/mcd/report/?year=2025&month=07&date=05
A,東京Ｖ,W,1,0,0.536,1.641,6,15,2,4,0,0,297,673,6,17,7,13,1,1,1,4,15,22,3,7,21,11,22,10,5,2,1,1,0,0,0,0,22,54,5,13,"115,853m","116,293m",68,88,100,110,6.0%,13.6%,36%,64%,https://www.football-lab.jp/mcd/report/?year=2025&month=07&date=20
H,神戸,W,2,0,1.303,0.82,10,12,4,4,0,0,269,477,5,17,9,16,3,4,6,4,17,29,5,13,19,14,32,18,3,1,4,3,2,0,0,0,21,35,3,10,"115,252m","113,888m",110,92,110,124,9.1%,9.7%,41%,59%,https://www.football-lab.jp/mcd/report/?year=2025&month=08&date=10
H,Ｃ大阪,W,3,0,0.859,0.709,11,9,4,5,0,0,325,651,15,17,8,14,1,1,3,4,21,19,10,13,21,14,31,18,2,6,1,1,1,3,0,0,41,45,6,11,"119,082m","117,109m",110,96,99,115,11.1%,7.8%,39.3%,60.7%,https://www.football-lab.jp/mcd/report/?year=2025&month=08&date=16
H,Ｇ大阪,W,3,1,2.743,1.352,12,15,6,7,1,0,417,455,12,11,8,10,3,3,5,3,23,19,11,13,19,17,21,19,1,0,3,3,1,0,0,0,40,43,10,13,"120,819m","113,155m",130,121,122,116,9.8%,12.9%,49%,51%,https://www.football-lab.jp/mcd/report/?year=2025&month=08&date=20
A,横浜FM,D,0,0,0.942,0.495,11,8,4,1,0,0,381,388,19,11,12,21,2,3,4,2,16,30,15,13,17,13,28,26,1,1,3,2,3,1,0,0,39,33,10,6,"110,230m","113,089m",90,112,95,109,11.6%,7.3%,50.8%,49.2%,https://www.football-lab.jp/mcd/report/?year=2025&month=08&date=23
A,川崎Ｆ,L,3,5,1.884,1.873,18,14,6,5,0,0,411,375,21,6,7,16,1,0,5,4,20,26,25,16,13,7,16,28,1,4,0,1,2,1,0,0,37,26,12,7,"113,068m","113,257m",102,86,104,114,17.3%,12.3%,49.9%,50.1%,https://www.football-lab.jp/mcd/report/?year=2025&month=08&date=31
