HOME/AWAY,Opponent,勝敗,y-fc_得点,y-fc_失点,y-fc_ゴール期待値,Opponent_ゴール期待値,y-fc_シュート,Opponent_シュート,y-fc_枠内シュート,Opponent_枠内シュート,y-fc_PKによるシュート,Opponent_PKによるシュート,y-fc_パス,Opponent_パス,y-fc_クロス,Opponent_クロス,y-fc_直接ＦＫ,Opponent_直接ＦＫ,y-fc_間接ＦＫ,Opponent_間接ＦＫ,y-fc_ＣＫ,Opponent_ＣＫ,y-fc_スローイン,Opponent_スローイン,y-fc_ドリブル,Opponent_ドリブル,y-fc_タックル,Opponent_タックル,y-fc_クリア,Opponent_クリア,y-fc_インターセプト,Opponent_インターセプト,y-fc_オフサイド,Opponent_オフサイド,y-fc_警告,Opponent_警告,y-fc_退場,Opponent_退場,y-fc_３０ｍライン進入,Opponent_３０ｍライン進入,y-fc_ペナルティエリア進入,Opponent_ペナルティエリア進入,y-fc_総移動距離,Opponent_総移動距離,y-fc_スプリント,Opponent_スプリント,y-fc_攻撃回数,Opponent_攻撃回数,y-fc_チャンス構築率,Opponent_チャンス構築率,y-fc_ボール保持率,Opponent_ボール保持率,URL
H,FC東京,L,0,1,0.862,0.601,14,7,5,1,0,0,491,469,16,1,11,11,0,2,5,1,26,19,14,10,28,24,11,24,1,0,2,0,1,0,0,0,38,33,8,5,"116,004m","118,997m",122,138,128,116,10.9%,6.0%,47.7%,52.3%,https://www.football-lab.jp/y-fc/report/?year=2025&month=02&date=15
H,岡山,W,1,0,1.403,0.88,9,9,4,1,0,0,345,389,14,15,12,9,2,1,4,7,26,30,10,4,20,28,22,20,2,1,1,2,0,1,0,0,30,30,7,3,"105,326m","108,744m",113,102,143,135,6.3%,6.7%,47.7%,52.3%,https://www.football-lab.jp/y-fc/report/?year=2025&month=02&date=22
A,横浜FM,D,0,0,0.97,1.339,7,13,2,3,0,0,404,688,14,17,7,11,0,0,4,2,26,21,16,13,18,15,27,26,0,1,0,0,2,2,0,0,26,77,11,12,"117,273m","117,768m",104,99,110,102,6.4%,12.7%,41.1%,58.9%,https://www.football-lab.jp/y-fc/report/?year=2025&month=02&date=26
A,広島,L,0,1,0.13,1.268,3,15,0,2,0,0,401,553,13,20,7,13,0,2,2,3,25,26,12,9,14,22,34,14,2,3,2,0,0,0,0,0,31,56,4,11,"110,002m","109,991m",106,102,113,117,2.7%,12.8%,43.8%,56.2%,https://www.football-lab.jp/y-fc/report/?year=2025&month=03&date=02
H,町田,L,0,2,0.428,1.057,5,11,0,4,0,0,489,419,13,8,10,8,1,0,1,4,30,27,6,8,16,21,27,15,4,1,0,1,1,2,0,0,22,32,5,8,"118,310m","120,917m",125,125,135,133,3.7%,8.3%,51.6%,48.4%,https://www.football-lab.jp/y-fc/report/?year=2025&month=03&date=08
H,Ｃ大阪,W,2,0,1.008,0.712,11,7,3,2,0,0,347,707,16,5,7,8,2,3,5,3,19,35,14,9,18,29,24,23,4,1,3,2,0,0,0,0,29,74,10,11,"124,783m","122,609m",125,119,120,126,9.2%,5.6%,38.2%,61.8%,https://www.football-lab.jp/y-fc/report/?year=2025&month=03&date=15
A,名古屋,L,1,2,1.232,1.151,10,7,3,4,0,1,541,421,9,5,16,9,2,1,5,2,12,25,10,9,22,20,15,25,3,1,1,2,1,4,0,0,32,33,8,5,"116,600m","119,009m",100,102,122,125,8.2%,5.6%,54.1%,45.9%,https://www.football-lab.jp/y-fc/report/?year=2025&month=03&date=29
H,神戸,L,0,1,0.831,0.655,9,8,1,1,0,0,319,478,12,12,10,16,2,1,5,3,31,29,9,9,28,29,17,32,3,1,1,2,1,0,0,0,24,40,6,3,"119,235m","120,939m",143,135,130,124,6.9%,6.5%,43.2%,56.8%,https://www.football-lab.jp/y-fc/report/?year=2025&month=04&date=02
H,清水,W,2,0,0.964,0.614,6,11,3,0,0,0,330,653,21,14,7,8,1,2,1,8,13,30,9,19,33,21,27,17,1,3,2,1,1,0,0,0,32,42,16,9,"119,486m","116,561m",154,158,114,137,5.3%,8.0%,38%,62%,https://www.football-lab.jp/y-fc/report/?year=2025&month=04&date=06
A,新潟,D,0,0,1.257,0.821,11,12,1,2,0,0,357,640,11,14,7,6,1,2,3,5,15,23,4,7,16,14,18,15,2,2,1,1,0,0,0,0,24,42,8,11,"114,610m","117,916m",101,81,116,121,9.5%,9.9%,38.6%,61.4%,https://www.football-lab.jp/y-fc/report/?year=2025&month=04&date=13
H,Ｇ大阪,D,1,1,1.067,0.259,11,5,3,2,0,0,348,481,18,7,17,14,2,1,4,2,26,20,7,3,15,24,16,27,0,0,1,2,4,1,0,0,30,32,11,7,"110,250m","107,557m",134,114,127,119,8.7%,4.2%,45.9%,54.1%,https://www.football-lab.jp/y-fc/report/?year=2025&month=04&date=20
A,京都,L,1,2,1.239,0.665,12,9,3,4,0,0,403,395,16,3,20,6,2,1,3,4,25,17,11,12,16,27,13,32,3,1,1,2,1,2,0,0,31,33,6,7,"112,955m","118,524m",124,148,130,116,9.2%,7.8%,51%,49%,https://www.football-lab.jp/y-fc/report/?year=2025&month=04&date=25
H,鹿島,L,0,3,0.97,1.878,10,10,2,7,0,1,349,342,22,4,10,13,1,1,6,2,29,19,13,7,17,24,17,38,2,1,1,1,0,0,0,0,35,20,14,11,"103,312m","103,465m",131,121,116,112,8.6%,8.9%,50.3%,49.7%,https://www.football-lab.jp/y-fc/report/?year=2025&month=04&date=29
A,東京Ｖ,L,0,2,1.159,0.465,10,5,2,3,0,0,685,363,15,3,15,6,1,0,3,1,35,14,8,5,14,20,4,27,0,3,0,1,1,2,0,0,47,17,7,4,"116,903m","124,615m",110,157,139,114,7.2%,4.4%,61.1%,38.9%,https://www.football-lab.jp/y-fc/report/?year=2025&month=05&date=06
H,福岡,W,1,0,1.539,0.563,11,12,3,2,0,0,313,406,5,10,10,10,1,1,2,6,28,29,12,4,11,22,26,10,2,0,1,1,1,1,0,0,25,24,7,9,"107,419m","108,326m",120,102,105,109,10.5%,11.0%,48.6%,51.4%,https://www.football-lab.jp/y-fc/report/?year=2025&month=05&date=10
A,川崎Ｆ,L,1,2,0.928,1.128,10,15,5,2,0,0,283,735,11,9,6,11,1,2,5,4,25,25,8,9,17,20,25,22,4,2,2,1,2,0,0,0,20,62,6,14,"112,279m","110,177m",103,99,115,114,8.7%,13.2%,32.6%,67.4%,https://www.football-lab.jp/y-fc/report/?year=2025&month=05&date=14
A,湘南,W,1,0,1.643,0.523,8,7,4,2,1,0,257,504,7,24,15,13,0,2,3,8,26,27,8,12,11,20,39,8,2,1,2,0,0,1,0,0,20,41,2,14,"112,687m","111,214m",121,119,120,123,6.7%,5.7%,41.4%,58.6%,https://www.football-lab.jp/y-fc/report/?year=2025&month=05&date=17
H,柏,D,1,1,1.103,1.889,13,18,3,7,0,0,284,577,15,17,12,5,0,0,6,8,24,27,12,17,22,13,29,38,3,0,0,0,1,2,0,0,20,47,10,21,"118,128m","115,882m",144,140,120,114,10.8%,15.8%,37%,63%,https://www.football-lab.jp/y-fc/report/?year=2025&month=05&date=25
A,浦和,L,1,2,0.491,1.961,9,15,3,3,0,0,348,604,10,20,9,5,0,2,6,8,15,24,10,16,25,16,24,17,2,1,2,0,0,1,0,0,24,60,7,17,"111,141m","111,870m",113,138,127,133,7.1%,11.3%,39.7%,60.3%,https://www.football-lab.jp/y-fc/report/?year=2025&month=06&date=01
H,川崎Ｆ,L,0,1,0.846,0.251,7,6,0,3,0,0,475,397,14,6,11,11,1,1,3,3,38,25,12,7,16,15,13,25,2,3,1,1,2,0,0,0,43,35,6,10,"109,682m","107,074m",131,126,128,120,5.5%,5.0%,53.6%,46.4%,https://www.football-lab.jp/y-fc/report/?year=2025&month=06&date=14
H,広島,L,0,4,1.671,1.164,13,10,0,7,0,0,466,329,11,10,16,9,0,2,6,7,25,14,7,4,15,10,12,21,2,0,2,0,2,2,0,0,30,22,9,9,"109,753m","107,471m",124,116,141,122,9.2%,8.2%,58.3%,41.7%,https://www.football-lab.jp/y-fc/report/?year=2025&month=06&date=22
A,FC東京,L,1,2,0.806,3.394,7,22,2,6,0,2,248,637,8,23,12,5,1,3,3,4,19,25,8,14,11,15,33,15,2,2,3,1,1,0,0,0,12,68,8,24,"113,105m","115,413m",108,102,118,118,5.9%,18.6%,34.3%,65.7%,https://www.football-lab.jp/y-fc/report/?year=2025&month=06&date=28
H,横浜FM,L,0,1,0.517,1.229,12,7,1,1,0,1,332,322,20,5,11,11,0,3,7,2,19,13,18,6,14,16,9,42,1,0,3,0,3,2,0,0,41,26,13,5,"109,629m","110,517m",125,104,112,98,10.7%,7.1%,50.6%,49.4%,https://www.football-lab.jp/y-fc/report/?year=2025&month=07&date=05
A,清水,L,0,2,0.547,1.643,7,14,4,2,0,0,322,584,10,14,8,9,0,3,2,8,16,27,7,11,26,10,22,16,3,0,3,0,1,1,1,0,19,49,5,11,"100,677m","104,325m",105,89,104,116,6.7%,12.1%,38.7%,61.3%,https://www.football-lab.jp/y-fc/report/?year=2025&month=07&date=20
H,浦和,L,1,2,0.709,3.358,8,22,2,5,0,0,280,540,17,8,6,11,1,2,0,7,23,25,11,12,24,13,15,14,4,4,2,1,4,1,1,0,28,41,12,10,"107,308m","112,447m",124,131,106,119,7.5%,18.5%,37.3%,62.7%,https://www.football-lab.jp/y-fc/report/?year=2025&month=08&date=09
A,神戸,W,1,0,0.335,0.972,5,14,1,3,0,0,296,464,12,33,9,14,0,4,3,5,19,21,6,20,20,19,51,22,0,2,4,0,2,1,0,0,25,42,5,16,"107,711m","110,492m",108,99,113,124,4.4%,11.3%,44.7%,55.3%,https://www.football-lab.jp/y-fc/report/?year=2025&month=08&date=16
A,Ｇ大阪,L,2,3,1.392,2.127,14,15,6,5,0,1,300,529,15,12,7,8,1,1,5,3,16,22,14,15,11,13,16,26,3,1,1,1,1,1,0,0,37,42,11,12,"104,389m","103,586m",89,84,93,104,15.1%,14.4%,38.9%,61.1%,https://www.football-lab.jp/y-fc/report/?year=2025&month=08&date=23
H,東京Ｖ,D,0,0,0.596,0.189,10,4,3,0,0,0,339,461,12,9,13,11,1,0,4,4,34,17,5,9,14,15,17,24,1,1,0,1,2,3,1,0,25,24,12,6,"110,760m","115,256m",107,130,113,107,8.8%,3.7%,41.7%,58.3%,https://www.football-lab.jp/y-fc/report/?year=2025&month=08&date=30
